maxAge,endDate,netIncome,depreciation,changeToNetincome,changeToLiabilities,totalCashFromOperatingActivities,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,totalCashflowsFromInvestingActivities,netBorrowings,otherCashflowsFromFinancingActivities,totalCashFromFinancingActivities,changeInCash,dividendsPaid,type,kode,effectOfExchangeRate,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
1,2018-12-31,1636001028000,848293492000,-609716089000,0,1874578431000,-2144117503000.0,246407000000.0,-950591375000.0,-2593809364000.0,-940832524000.0,368850000000.0,-619759898000.0,-1251608935000,-47777374000.0,A,ANTM.JK,87381896000.0,,,
1,2022-06-30,60514000000,285187000000,34166000000,0,379867000000,-53405000000.0,-633325000000.0,,-684405000000.0,279132000000.0,,-651739000000.0,-926146000000,-930871000000.0,Q,ANTM.JK,30131000000.0,,,
1,2022-03-31,1465382000000,208860000000,-1192786000000,0,481456000000,-155877000000.0,618700000000.0,,458040000000.0,-1883097000000.0,,-1883097000000.0,-929345000000,-930871000000.0,Q,ANTM.JK,14256000000.0,,,
1,2021-12-31,151282951000,388418569000,51701201000,0,591402721000,-187456838000.0,-963918000000.0,,-1147913856000.0,-713717132000.0,481000.0,-713716651000.0,-1278632872000,-930871000000.0,Q,ANTM.JK,-8405086000.0,,,
1,2021-09-30,550039094000,228977214000,1268763668000,0,2047779976000,-82616849000.0,-210000000000.0,,-293281147000.0,-461605498000.0,481000.0,-461605498000.0,1245878589000,-930871000000.0,Q,ANTM.JK,-47014742000.0,,,
1,2021-12-31,20196000000000,14263000000000,3793000000000,0,38252000000000,-5363000000000.0,-2828000000000.0,4240000000000.0,-3905000000000.0,-8560000000000.0,-4300000000000.0,-18200000000000.0,16394000000000,-5340000000000.0,A,ASII.JK,247000000000.0,,,
1,2020-12-31,16164000000000,15161000000000,6358000000000,0,37683000000000,-5011000000000.0,15872000000000.0,2917000000000.0,13133000000000.0,-15892000000000.0,-4618000000000.0,-27955000000000.0,23229000000000,-7445000000000.0,A,ASII.JK,368000000000.0,,,
1,2019-12-31,21707000000000,13452000000000,-15973000000000,0,19186000000000,-12482000000000.0,-5976000000000.0,4468000000000.0,-14197000000000.0,8597000000000.0,-5469000000000.0,-5414000000000.0,-617000000000,-8542000000000.0,A,ASII.JK,-192000000000.0,,,
1,2018-12-31,21673000000000,9422000000000,-3403000000000,0,27692000000000,-14016000000000.0,-4813000000000.0,6709000000000.0,-29731000000000.0,8900000000000.0,-6086000000000.0,-4873000000000.0,-6633000000000,-7687000000000.0,A,ASII.JK,279000000000.0,,,
1,2022-06-30,11315000000000,1894000000000,-1492000000000,0,11717000000000,-2355000000000.0,-1567000000000.0,3838000000000.0,62000000000.0,-1035000000000.0,-2416000000000.0,-11300000000000.0,979000000000,-7849000000000.0,Q,ASII.JK,500000000000.0,,,
1,2022-03-31,6859000000000,1894000000000,9524000000000,0,9524000000000,-1940000000000.0,-1277000000000.0,-130000000000.0,-3329000000000.0,-2509000000000.0,-488000000000.0,-2997000000000.0,3308000000000,-7849000000000.0,Q,ASII.JK,110000000000.0,,,
1,2021-12-31,5219000000000,3771000000000,-301000000000,0,8689000000000,-2067000000000.0,-967000000000.0,3422000000000.0,321000000000.0,-2167000000000.0,-1710000000000.0,-5697000000000.0,3409000000000,-1820000000000.0,Q,ASII.JK,96000000000.0,,,
1,2021-09-30,6146000000000,3478000000000,1124000000000,0,10748000000000,-1339000000000.0,-366000000000.0,-1645000000000.0,-3364000000000.0,-4250000000000.0,-595000000000.0,-4845000000000.0,2373000000000,-1820000000000.0,Q,ASII.JK,-166000000000.0,,,
1,2021-12-31,145693623000,136751207000,1331722768000,0,1614167598000,-10890950000.0,,-205271019000.0,-363365649000.0,-294019352000.0,-595737247000.0,-889756599000.0,366357368000,,A,ASRI.JK,5312018000.0,,,
1,2020-12-31,-1027706333000,104947864000,1257075663000,0,334317194000,-12083375000.0,,1184946000.0,-147889223000.0,-519124580000.0,-296704373000.0,-815828953000.0,-583996588000,,A,ASRI.JK,45404394000.0,,,
1,2019-12-31,1011628134000,102870573000,575972452000,0,1690471159000,-31550693000.0,,-75932237000.0,-594108835000.0,345352774000.0,-675062373000.0,-329709599000.0,749663296000,,A,ASRI.JK,-16989429000.0,,,
1,2018-12-31,970096143000,86366700000,313221706000,0,1369684549000,-149111236000.0,,31633802000.0,-696771358000.0,-370007385000.0,-568765132000.0,-938772517000.0,-259077234000,,A,ASRI.JK,6782092000.0,,,
