maxAge,endDate,totalRevenue,costOfRevenue,grossProfit,researchDevelopment,sellingGeneralAdministrative,nonRecurring,otherOperatingExpenses,totalOperatingExpenses,operatingIncome,totalOtherIncomeExpenseNet,ebit,interestExpense,incomeBeforeTax,incomeTaxExpense,minorityInterest,netIncomeFromContinuingOps,discontinuedOperations,extraordinaryItems,effectOfAccountingCharges,otherItems,netIncome,netIncomeApplicableToCommonShares,type,kode
1,2018-12-31,6628782185008,2014058580235,4614723604773,{},2081652625537,{},95229571441,4190940777213,2437841407795,-404754174327,2437841407795,-893649223401,2033087233468,331269538541,4177164977141,1701817694927,{},{},{},{},1293850222563,1293850222563,A,BSDE.JK
1,2022-06-30,1808838427533,723425394520,1085413033013,{},606209461675,{},18508483169,1348143339364,460695088169,-252148655043,460695088169,-447626005717,208546433126,71576006003,4404904807125,136970427123,{},{},{},{},115734544124,115734544124,Q,BSDE.JK
1,2022-03-31,2026785015960,791983863205,1234801152755,{},532375538367,{},7931719079,1332291120651,694493895309,-256153483863,694493895309,-392790800382,438340411446,66275224764,4462272277853,372065186682,{},{},{},{},347902282692,347902282692,Q,BSDE.JK
1,2021-12-31,2487593359569,1103527832538,1384065527031,{},525542911930,{},3007660412,1632078404880,855514954689,-272214682272,855514954689,-404449154813,583300272417,76862354353,4438109373863,506437918064,{},{},{},{},417847414892,417847414892,Q,BSDE.JK
1,2021-09-30,1913087315832,811821967104,1101265348728,{},505452569284,{},50634379877,1367908916265,545178399567,-199860842999,545178399567,-377962549920,345317556568,59875341001,4396217810861,285442215567,{},{},{},{},250771292854,250771292854,Q,BSDE.JK
1,2021-12-31,51698249000000,43468464000000,8229785000000,{},3528500000000,{},-174701000000,46750381000000,4947868000000,-314322000000,4947868000000,-328551000000,4633546000000,1014536000000,14711000000,3619010000000,{},{},{},{},3620961000000,3620961000000,A,CPIN.JK
1,2020-12-31,42518782000000,34283382000000,8235400000000,{},2825475000000,{},291132000000,37399989000000,5118793000000,-351095000000,5118793000000,-368057000000,4767698000000,921865000000,16652000000,3845833000000,{},{},{},{},3842083000000,3842083000000,A,CPIN.JK
1,2019-12-31,42501146000000,34573080000000,7928066000000,{},2743187000000,{},242971000000,37559238000000,4941908000000,-333267000000,4941908000000,-355372000000,4608641000000,966415000000,12951000000,3642226000000,{},{},{},{},3644672000000,3644672000000,A,CPIN.JK
1,2018-12-31,53957604000000,44812172000000,9145432000000,{},2683540000000,{},-19447000000,47476265000000,6481339000000,-573988000000,6481339000000,-401195000000,5907351000000,1355866000000,15454000000,4551485000000,{},{},{},{},4554391000000,4554391000000,A,CPIN.JK
1,2022-06-30,14341893000000,11835624000000,2506269000000,{},907254000000,{},-26731000000,12716147000000,1625746000000,-100714000000,1625746000000,-67442000000,1525032000000,297826000000,15888000000,1227206000000,{},{},{},{},1225724000000,1225724000000,Q,CPIN.JK
1,2022-03-31,14295430000000,11930990000000,2364440000000,{},880287000000,{},-59684000000,12751593000000,1543837000000,-70586000000,1543837000000,-67610000000,1473251000000,282291000000,14406000000,1190960000000,{},{},{},{},1191265000000,1191265000000,Q,CPIN.JK
1,2021-12-31,14104951000000,11807038000000,2297913000000,{},1150607000000,{},-258179000000,12627584000000,1477367000000,-104434000000,1477367000000,-168642000000,1372933000000,429005000000,14711000000,943928000000,{},{},{},{},944950000000,944950000000,Q,CPIN.JK
1,2021-09-30,12124245000000,11461471000000,662774000000,{},830710000000,{},83349000000,12375530000000,-251285000000,-55026000000,-251285000000,-53007000000,-306311000000,-148091000000,15723000000,-158220000000,{},{},{},{},-156980000000,-156980000000,Q,CPIN.JK
1,2021-12-31,8136563000000,7448004000000,688559000000,{},318916000000,{},54415000000,7821335000000,315228000000,-84476000000,315228000000,-103113000000,230752000000,121900000000,1609000000,108852000000,{},{},{},{},108740000000,108740000000,A,ELSA.JK
1,2020-12-31,7726945000000,6923151000000,803794000000,{},282313000000,{},84234000000,7289698000000,437247000000,-56238000000,437247000000,-96108000000,381009000000,131924000000,1508000000,249085000000,{},{},{},{},249082000000,249082000000,A,ELSA.JK
1,2019-12-31,8385122000000,7514040000000,871082000000,{},337401000000,{},84234000000,7851441000000,533681000000,-39102000000,533681000000,-48795000000,494579000000,138102000000,1660000000,356477000000,{},{},{},{},356474000000,356474000000,A,ELSA.JK
1,2018-12-31,6624774000000,5972680000000,652094000000,{},271319000000,{},84234000000,6243999000000,380775000000,-3957000000,380775000000,-34542000000,376818000000,100502000000,1705000000,276316000000,{},{},{},{},276314000000,276314000000,A,ELSA.JK
1,2022-06-30,2975099000000,2706297000000,268802000000,{},92328000000,{},{},2798625000000,176474000000,-858000000,176474000000,-29448000000,175616000000,24217000000,1610000000,151399000000,{},{},{},{},151399000000,151399000000,Q,ELSA.JK
1,2022-03-31,2445441000000,2245349000000,200092000000,{},86960000000,{},{},2332309000000,113132000000,-7207000000,113132000000,-20288000000,105925000000,30990000000,1610000000,74935000000,{},{},{},{},74934000000,74934000000,Q,ELSA.JK
1,2021-12-31,2416828000000,2148199000000,268629000000,{},80541000000,{},54415000000,2283155000000,133673000000,-21775000000,133673000000,-21736000000,111898000000,40603000000,1609000000,71295000000,{},{},{},{},71183000000,71183000000,Q,ELSA.JK
1,2021-09-30,2007443000000,1869484000000,137959000000,{},82920000000,{},54415000000,1952404000000,55039000000,-22228000000,55039000000,-24779000000,32811000000,35408000000,1508000000,-2597000000,{},{},{},{},-2596000000,-2596000000,Q,ELSA.JK
1,2021-12-31,26754050000000,9233274000000,17520776000000,{},4233991000000,{},{},23190389000000,3563661000000,-1856121000000,3563661000000,-2349015000000,1707540000000,419733000000,{},1287807000000,{},{},{},{},1287807000000,1287807000000,A,EXCL.JK
1,2020-12-31,26009095000000,9262799000000,16746296000000,{},3686270000000,{},{},22924361000000,3084734000000,-2938523000000,3084734000000,-2624428000000,146211000000,-225387000000,{},371598000000,{},{},{},{},371598000000,371598000000,A,EXCL.JK
1,2019-12-31,25132628000000,9017202000000,16115426000000,{},6149073000000,{},{},22529470000000,2603158000000,-1459041000000,2603158000000,-2111720000000,1144117000000,431538000000,{},712579000000,{},{},{},{},712579000000,712579000000,A,EXCL.JK
1,2018-12-31,22938812000000,8704501000000,14234311000000,{},5722004000000,{},{},22076066000000,862746000000,-5259026000000,862746000000,-1563013000000,-4396280000000,-1099390000000,{},-3296890000000,{},{},{},{},-3296890000000,-3296890000000,A,EXCL.JK
1,2022-06-30,7332770000000,2652357000000,4680413000000,{},1119941000000,{},{},6259962000000,1072808000000,-516942000000,1072808000000,-593510000000,555866000000,77946000000,121434000000,477920000000,{},{},{},{},475818000000,475818000000,Q,EXCL.JK
1,2022-03-31,6742059000000,2388893000000,4353166000000,{},1179262000000,{},{},6051896000000,690163000000,-517947000000,690163000000,-581294000000,172216000000,33124000000,121434000000,139092000000,{},{},{},{},139092000000,139092000000,Q,EXCL.JK
1,2021-12-31,6953857000000,2444156000000,4509701000000,{},1128452000000,{},{},5876131000000,1077726000000,-626279000000,1077726000000,-598860000000,451447000000,180039000000,121434000000,271408000000,{},{},{},{},271408000000,271408000000,Q,EXCL.JK
1,2021-09-30,6825994000000,2253084000000,4572910000000,{},1154976000000,{},{},5908137000000,917857000000,-504043000000,917857000000,-593866000000,413814000000,113373000000,121434000000,300441000000,{},{},{},{},300441000000,300441000000,Q,EXCL.JK
1,2021-12-31,124881266000000,110770521000000,14110745000000,{},6929692000000,{},-163994000000,117536219000000,7345047000000,-58201000000,7345047000000,-74919000000,7286846000000,1681525000000,66000000,5605321000000,{},{},{},{},5605315000000,5605315000000,A,GGRM.JK
1,2020-12-31,114477311000000,97210822000000,17266489000000,{},7390946000000,{},-209004000000,104392764000000,10084547000000,-421414000000,10084547000000,-382722000000,9663133000000,2015404000000,60000000,7647729000000,{},{},{},{},7647725000000,7647725000000,A,GGRM.JK
1,2019-12-31,110523819000000,87740564000000,22783255000000,{},7947038000000,{},-257048000000,95430554000000,15093265000000,-605529000000,15093265000000,-585354000000,14487736000000,3607032000000,55000000,10880704000000,{},{},{},{},10880701000000,10880701000000,A,GGRM.JK
1,2018-12-31,95707663000000,77063336000000,18644327000000,{},7456303000000,{},66014000000,84585653000000,11122010000000,-642768000000,11122010000000,-677562000000,10479242000000,2686174000000,52000000,7793068000000,{},{},{},{},7791822000000,7791822000000,A,GGRM.JK
1,2022-06-30,32381555000000,30518114000000,1863441000000,{},1975394000000,{},-28080000000,32465428000000,-83873000000,-60436000000,-83873000000,-71679000000,-144309000000,-23554000000,68000000,-120755000000,{},{},{},{},-120756000000,-120756000000,Q,GGRM.JK
1,2022-03-31,29290712000000,26018032000000,3272680000000,{},1896063000000,{},-86560000000,27827535000000,1463177000000,-89042000000,1463177000000,-93844000000,1374135000000,297234000000,67000000,1076901000000,{},{},{},{},1076900000000,1076900000000,Q,GGRM.JK
1,2021-12-31,32810410000000,29098843000000,3711567000000,{},1657607000000,{},13346000000,30769796000000,2040614000000,-33176000000,2040614000000,-33349000000,2007438000000,536693000000,66000000,1470745000000,{},{},{},{},1470743000000,1470743000000,Q,GGRM.JK
1,2021-09-30,31483557000000,27627127000000,3856430000000,{},1543847000000,{},-13822000000,29157152000000,2326405000000,-1520000000,2326405000000,-8940000000,2324885000000,500887000000,64000000,1823998000000,{},{},{},{},1823996000000,1823996000000,Q,GGRM.JK
1,2021-12-31,41512611000000,24592840000000,16919771000000,{},8336412000000,{},{},32929252000000,8583359000000,568807000000,8583359000000,-30230000000,9152166000000,2015069000000,{},7137097000000,{},{},{},{},7137097000000,7137097000000,A,HMSP.JK
1,2020-12-31,40252223000000,21480988000000,18771235000000,{},8369079000000,{},{},29850067000000,10402156000000,759310000000,10402156000000,-29470000000,11161466000000,2580088000000,{},8581378000000,{},{},{},{},8581378000000,8581378000000,A,HMSP.JK
1,2019-12-31,45868429000000,19745448000000,26122981000000,{},9045894000000,{},{},28791342000000,17077087000000,1182336000000,17077087000000,-30585000000,18259423000000,4537910000000,{},13721513000000,{},{},{},{},13721513000000,13721513000000,A,HMSP.JK
1,2018-12-31,45956880000000,20466089000000,25490791000000,{},8608863000000,{},{},29074952000000,16881928000000,1079341000000,16881928000000,-11660000000,17961269000000,4422851000000,{},13538418000000,{},{},{},{},13538418000000,13538418000000,A,HMSP.JK
1,2022-06-30,8231035000000,4509910000000,3721125000000,{},2274048000000,{},{},6783958000000,1447077000000,56362000000,1447077000000,-5097000000,1503439000000,370264000000,{},1133175000000,{},{},{},{},1133175000000,1133175000000,Q,HMSP.JK
1,2022-03-31,8559615000000,4299453000000,4260162000000,{},1892158000000,{},{},6191611000000,2368004000000,116081000000,2368004000000,-5157000000,2484085000000,569119000000,{},1914966000000,{},{},{},{},1914966000000,1914966000000,Q,HMSP.JK
1,2021-12-31,16398375000000,12213682000000,4184693000000,{},2255692000000,{},{},14469374000000,1929001000000,114639000000,1929001000000,-5433000000,2043640000000,461034000000,{},1582606000000,{},{},{},{},1582606000000,1582606000000,Q,HMSP.JK
1,2021-09-30,4153588000000,253665000000,3899923000000,{},2187310000000,{},{},2440975000000,1712613000000,120898000000,1712613000000,-12826000000,1833511000000,413001000000,{},1420510000000,{},{},{},{},1420510000000,1420510000000,Q,HMSP.JK
1,2021-12-31,56803733000000,36526493000000,20277240000000,{},8742483000000,{},-204068000000,45064908000000,11738825000000,-1767630000000,11738825000000,-1837077000000,9971195000000,2070913000000,20841960000000,7900282000000,{},{},{},{},6388477000000,6388477000000,A,ICBP.JK
1,2020-12-31,46641048000000,29416673000000,17224375000000,{},8106983000000,{},-81321000000,37442335000000,9198713000000,825122000000,9198713000000,-670545000000,10023835000000,2605261000000,20887762000000,7418574000000,{},{},{},{},6586907000000,6586907000000,A,ICBP.JK
1,2019-12-31,42296703000000,27892690000000,14404013000000,{},7125871000000,{},-269289000000,34749272000000,7547431000000,-67226000000,7547431000000,-161444000000,7480205000000,2120176000000,1370266000000,5360029000000,{},{},{},{},5038789000000,5038789000000,A,ICBP.JK
1,2018-12-31,38413407000000,26147857000000,12265550000000,{},6493793000000,{},-229361000000,32412289000000,6001118000000,504632000000,6001118000000,-147005000000,6505750000000,1846969000000,1088227000000,4658781000000,{},{},{},{},4575799000000,4575799000000,A,ICBP.JK
1,2022-06-30,15404784000000,10878904000000,4525880000000,{},2393294000000,{},1369000000,13273567000000,2131217000000,-1551761000000,2131217000000,-529214000000,579456000000,424425000000,20947624000000,155031000000,{},{},{},{},-10781000000,-10781000000,Q,ICBP.JK
