maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,intangibleAssets,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,shortTermInvestments,goodWill,deferredLongTermLiab
1,2022-03-31,3567924937000.0,7661204131000.0,4589341050000.0,238917237000.0,16144242761000.0,405987867000.0,5548299150000.0,,5736126352000.0,248454247000.0,27834656130000.0,11230527626000.0,521551821000.0,273469523000.0,2197903783000.0,448571511000.0,2005532355000.0,12893048724000.0,15843104993000.0,401469492000.0,8138579268000.0,158806965000.0,1287163057000.0,276878829000.0,9986018782000.0,9986018782000.0,Q,AKRA.JK,,,
1,2021-12-31,2600492407000.0,4622656638000.0,4507651039000.0,213670145000.0,12022678362000.0,547516934000.0,5547018781000.0,,5391371659000.0,251900442000.0,23508585736000.0,7766849298000.0,451657907000.0,331306319000.0,2201479208000.0,435176440000.0,1953848784000.0,9306841393000.0,12209620623000.0,401469492000.0,7518358978000.0,138124802000.0,1287163057000.0,256196666000.0,9345116329000.0,9345116329000.0,Q,AKRA.JK,,,
1,2021-09-30,1579427190000.0,4473782102000.0,4155429263000.0,233347646000.0,10528583741000.0,401256974000.0,5514105724000.0,,4867445226000.0,228731114000.0,21311391665000.0,5570127310000.0,434377911000.0,360237046000.0,2300868856000.0,375495453000.0,1941256700000.0,7435385872000.0,10342938895000.0,401469492000.0,7199164215000.0,139399306000.0,1287163057000.0,257471170000.0,9027196070000.0,9027196070000.0,Q,AKRA.JK,,,
1,2021-12-31,5089160000000.0,1945036000000.0,3107312000000.0,606666000000.0,11728143000000.0,1770368000000.0,18138307000000.0,42121000000.0,1168879000000.0,111471000000.0,32916154000000.0,1399446000000.0,1079630000000.0,1548431000000.0,3703354000000.0,1729609000000.0,18000000.0,6562383000000.0,12079056000000.0,2403075000000.0,10271507000000.0,4227664000000.0,3934833000000.0,4227664000000.0,20837079000000.0,20726622000000.0,A,ANTM.JK,963918000000.0,68336000000.0,
1,2020-12-31,3984388000000.0,1812981000000.0,2626022000000.0,717935000000.0,9150514000000.0,1071954000000.0,19638266000000.0,46927000000.0,1753516000000.0,173374000000.0,31729513000000.0,672748000000.0,3132500000000.0,1257646000000.0,3387657000000.0,1661350000000.0,21000000.0,7553261000000.0,12690064000000.0,2403075000000.0,8786064000000.0,3915455000000.0,3934833000000.0,3915455000000.0,19039427000000.0,18924164000000.0,A,ANTM.JK,,68336000000.0,
1,2019-12-31,3636243080000.0,1430500901000.0,1796301441000.0,788469433000.0,7665239260000.0,744529918000.0,20277426854000.0,42992368000.0,1396383286000.0,129448529000.0,30194907730000.0,739743696000.0,1585286186000.0,583505073000.0,5564154887000.0,1204095275000.0,19854000.0,5293238393000.0,12061488555000.0,2403076472000.0,7912776028000.0,3882713696000.0,3934833124000.0,3882713696000.0,18133399320000.0,18022070908000.0,A,ANTM.JK,,68336044000.0,
1,2018-12-31,4299068085000.0,994799551000.0,1845550076000.0,178396504000.0,7342040979000.0,1145222461000.0,20893372150000.0,50860511000.0,2662095317000.0,140868263000.0,32195350845000.0,867746116000.0,1121605386000.0,898423732000.0,7347593819000.0,837459261000.0,18970000.0,5561931474000.0,13746984554000.0,2403076472000.0,8148384431000.0,3962053293000.0,3934833124000.0,3962053293000.0,18448347320000.0,18295727382000.0,A,ANTM.JK,,101759427000.0,
1,2022-06-30,3233669000000.0,2221479000000.0,3463078000000.0,942646000000.0,10954380000000.0,2161482000000.0,17492061000000.0,38586000000.0,1541631000000.0,139568000000.0,32256476000000.0,1213668000000.0,1079445000000.0,1688025000000.0,2348374000000.0,1675295000000.0,17000000.0,6659135000000.0,10784540000000.0,2403075000000.0,10914765000000.0,4219245000000.0,3934833000000.0,4219245000000.0,21471918000000.0,21364996000000.0,Q,ANTM.JK,978543000000.0,68336000000.0,
1,2022-03-31,4159815000000.0,2657091000000.0,2865453000000.0,532090000000.0,10284733000000.0,1883176000000.0,18075220000000.0,44774000000.0,1185147000000.0,154736000000.0,31541386000000.0,1131391000000.0,1070436000000.0,723648000000.0,2477170000000.0,1757794000000.0,18000000.0,4926408000000.0,9236087000000.0,2403075000000.0,11730669000000.0,4236703000000.0,3934833000000.0,4236703000000.0,22305280000000.0,22192170000000.0,Q,ANTM.JK,,68336000000.0,
1,2021-12-31,5089160000000.0,1945036000000.0,3107312000000.0,606666000000.0,11728143000000.0,1770368000000.0,18138307000000.0,42121000000.0,1168879000000.0,111471000000.0,32916154000000.0,1399446000000.0,1079630000000.0,1548431000000.0,3703354000000.0,1729609000000.0,18000000.0,6562383000000.0,12079056000000.0,2403075000000.0,10271507000000.0,4227664000000.0,3934833000000.0,4227664000000.0,20837079000000.0,20726622000000.0,Q,ANTM.JK,963918000000.0,68336000000.0,
1,2021-09-30,6367792519000.0,1634516036000.0,2654971040000.0,380092275000.0,11090152939000.0,1672716519000.0,18872081135000.0,46906168000.0,1550647067000.0,199852066000.0,33300839872000.0,1257238752000.0,3183516315000.0,1638363978000.0,2273654255000.0,1734347541000.0,20397000.0,8870426613000.0,12956958245000.0,2403076472000.0,10055290361000.0,3950661272000.0,3934833124000.0,3950661272000.0,20343861229000.0,20228619017000.0,Q,ANTM.JK,,68336044000.0,
1,2021-12-31,63947000000000.0,26185000000000.0,21815000000000.0,7091000000000.0,160262000000000.0,51425000000000.0,74388000000000.0,10283000000000.0,32169000000000.0,5233000000000.0,367311000000000.0,25149000000000.0,34147000000000.0,26049000000000.0,33245000000000.0,14099000000000.0,43562000000000.0,103778000000000.0,151696000000000.0,2024000000000.0,163800000000000.0,5090000000000.0,1139000000000.0,5090000000000.0,172053000000000.0,157003000000000.0,A,ASII.JK,,4767000000000.0,
1,2020-12-31,47553000000000.0,21878000000000.0,17929000000000.0,6607000000000.0,132308000000000.0,45356000000000.0,79196000000000.0,10199000000000.0,33685000000000.0,4799000000000.0,338203000000000.0,16529000000000.0,29760000000000.0,20664000000000.0,41583000000000.0,14668000000000.0,39792000000000.0,85736000000000.0,142749000000000.0,2024000000000.0,149068000000000.0,3431000000000.0,1139000000000.0,3431000000000.0,155662000000000.0,140619000000000.0,A,ASII.JK,,4844000000000.0,
1,2019-12-31,24330000000000.0,34478000000000.0,24287000000000.0,2681000000000.0,129058000000000.0,44444000000000.0,83159000000000.0,9957000000000.0,34547000000000.0,4806000000000.0,351958000000000.0,30087000000000.0,26169000000000.0,16437000000000.0,50117000000000.0,14684000000000.0,38916000000000.0,99962000000000.0,165195000000000.0,2024000000000.0,140487000000000.0,4197000000000.0,1139000000000.0,4197000000000.0,147847000000000.0,133552000000000.0,A,ASII.JK,,4338000000000.0,
1,2018-12-31,25193000000000.0,35586000000000.0,26505000000000.0,3316000000000.0,131180000000000.0,38167000000000.0,80671000000000.0,8802000000000.0,36452000000000.0,4209000000000.0,344711000000000.0,41881000000000.0,25826000000000.0,17472000000000.0,40049000000000.0,13496000000000.0,37416000000000.0,116467000000000.0,170348000000000.0,2024000000000.0,127732000000000.0,6052000000000.0,1139000000000.0,6052000000000.0,136947000000000.0,123734000000000.0,A,ASII.JK,591000000000.0,4411000000000.0,
1,2022-06-30,68234000000000.0,31831000000000.0,25406000000000.0,7798000000000.0,175316000000000.0,58014000000000.0,75027000000000.0,10386000000000.0,34050000000000.0,5547000000000.0,392523000000000.0,29753000000000.0,33085000000000.0,24646000000000.0,31888000000000.0,14091000000000.0,48244000000000.0,113996000000000.0,160440000000000.0,2024000000000.0,174130000000000.0,6546000000000.0,1139000000000.0,6546000000000.0,183839000000000.0,168587000000000.0,Q,ASII.JK,222000000000.0,4866000000000.0,
1,2022-03-31,67255000000000.0,69201000000000.0,23332000000000.0,7433000000000.0,174332000000000.0,54771000000000.0,74150000000000.0,10327000000000.0,33803000000000.0,5601000000000.0,383183000000000.0,28738000000000.0,33507000000000.0,22184000000000.0,32961000000000.0,14247000000000.0,46091000000000.0,110138000000000.0,157855000000000.0,2024000000000.0,170669000000000.0,5405000000000.0,1139000000000.0,5405000000000.0,179237000000000.0,164129000000000.0,Q,ASII.JK,537000000000.0,4781000000000.0,
1,2021-12-31,63947000000000.0,26185000000000.0,21815000000000.0,7091000000000.0,160262000000000.0,51425000000000.0,74388000000000.0,10283000000000.0,32169000000000.0,5233000000000.0,367311000000000.0,25149000000000.0,34147000000000.0,26049000000000.0,33245000000000.0,14099000000000.0,43562000000000.0,103778000000000.0,151696000000000.0,2024000000000.0,163800000000000.0,5090000000000.0,1139000000000.0,5090000000000.0,172053000000000.0,157003000000000.0,Q,ASII.JK,,4767000000000.0,
1,2021-09-30,60538000000000.0,28668000000000.0,19474000000000.0,6997000000000.0,156627000000000.0,48344000000000.0,75248000000000.0,10188000000000.0,33182000000000.0,4914000000000.0,362219000000000.0,22288000000000.0,29144000000000.0,25025000000000.0,37090000000000.0,14138000000000.0,43016000000000.0,100711000000000.0,152663000000000.0,2024000000000.0,158619000000000.0,4758000000000.0,1139000000000.0,4758000000000.0,166540000000000.0,151496000000000.0,Q,ASII.JK,,4856000000000.0,
1,2021-12-31,991033286000.0,148126380000.0,868755237000.0,993729743000.0,3034403543000.0,,1207694618000.0,,17691876553000.0,,21933974714000.0,233418423000.0,632675471000.0,2526668245000.0,6821348336000.0,1943271714000.0,96827237000.0,3633263428000.0,12397883478000.0,1964941189000.0,6897454855000.0,-99755450000.0,676623405000.0,-99755450000.0,9439263999000.0,9439263999000.0,A,ASRI.JK,,,
1,2020-12-31,624675918000.0,78076695000.0,1013400109000.0,435186185000.0,2156001152000.0,,1259350518000.0,,17811463201000.0,,21226814871000.0,210330549000.0,448691844000.0,2334664870000.0,7183259436000.0,1459246094000.0,99489192000.0,3198161431000.0,11840666961000.0,1964941189000.0,6744849574000.0,-99755450000.0,676623405000.0,-99755450000.0,9286658718000.0,9286658718000.0,A,ASRI.JK,,,
1,2019-12-31,1208672506000.0,105206430000.0,394514789000.0,806948148000.0,2521030734000.0,,1298289971000.0,,18074951300000.0,,21894272005000.0,222480870000.0,247148158000.0,1134881841000.0,7613911027000.0,1794335877000.0,109127282000.0,1923805487000.0,11332052391000.0,1964941189000.0,7911283188000.0,-99755450000.0,676623405000.0,-99755450000.0,10453092332000.0,10453092332000.0,A,ASRI.JK,,,
1,2018-12-31,459009210000.0,234054350000.0,414571442000.0,336667266000.0,1449848156000.0,,1329283319000.0,,18111794089000.0,,20890925564000.0,226129772000.0,425363232000.0,1343563401000.0,7308739856000.0,1806293630000.0,107853641000.0,2224534970000.0,11339568456000.0,1964941189000.0,6901694323000.0,-99755450000.0,676623405000.0,-99755450000.0,9443503467000.0,9443503467000.0,A,ASRI.JK,,,
1,2022-06-30,1253800796000.0,68696545000.0,687142176000.0,712088527000.0,2762399497000.0,,1190830082000.0,,17887306083000.0,2534732000.0,21840535662000.0,222091531000.0,404396763000.0,2341815218000.0,6881168553000.0,2010226243000.0,98543027000.0,3191037741000.0,12082432537000.0,1964941189000.0,7117750954000.0,-99755450000.0,676623405000.0,-99755450000.0,9659560098000.0,9659560098000.0,Q,ASRI.JK,,,
1,2022-03-31,1259290498000.0,72718114000.0,743809456000.0,1063946731000.0,3181910562000.0,,1196345347000.0,,17737432428000.0,,22115688337000.0,268660013000.0,627263982000.0,2514049909000.0,6829861867000.0,1791875540000.0,97045011000.0,3819058304000.0,12440795711000.0,1964941189000.0,7036038471000.0,-99755450000.0,676623405000.0,-99755450000.0,9577847615000.0,9577847615000.0,Q,ASRI.JK,,,
1,2021-12-31,991033286000.0,148126380000.0,868755237000.0,993729743000.0,3034403543000.0,,1207694618000.0,,17691876553000.0,,21933974714000.0,233418423000.0,632675471000.0,2526668245000.0,6821348336000.0,1943271714000.0,96827237000.0,3633263428000.0,12397883478000.0,1964941189000.0,6897454855000.0,-99755450000.0,676623405000.0,-99755450000.0,9439263999000.0,9439263999000.0,Q,ASRI.JK,,,
1,2021-09-30,837332741000.0,79712897000.0,1255226253000.0,908930329000.0,3108931320000.0,,1221073765000.0,,17371102120000.0,,21701107205000.0,229701199000.0,506978834000.0,2624268959000.0,6996635357000.0,1771597169000.0,95835518000.0,3690912073000.0,12459144599000.0,1964941189000.0,6604317944000.0,-99755450000.0,676623405000.0,-99755450000.0,9146127088000.0,9146127088000.0,Q,ASRI.JK,,,
1,2021-12-31,111482987000000.0,606760000000.0,1401658000000.0,81967172000000.0,356299708000000.0,224232416000000.0,22169299000000.0,424091000000.0,624060965000000.0,5525516000000.0,1228344680000000.0,980243977000000.0,1281352000000.0,16764717000000.0,582022000000.0,25591009000000.0,136172000000.0,998991290000000.0,1025495746000000.0,1540938000000.0,179580121000000.0,16042726000000.0,5548977000000.0,16042726000000.0,202712762000000.0,201130470000000.0,A,BBCA.JK,157951348000000.0,1158201000000.0,
1,2020-12-31,78788132000000.0,407175000000.0,1528414000000.0,41074883000000.0,277039027000000.0,192553101000000.0,21915054000000.0,471419000000.0,582433454000000.0,4880722000000.0,1075570256000000.0,845598658000000.0,1140566000000.0,14894632000000.0,1112306000000.0,27051721000000.0,118383000000.0,862371048000000.0,890855547000000.0,1540938000000.0,160539695000000.0,16966716000000.0,5548977000000.0,16966716000000.0,184596326000000.0,182966706000000.0,A,BBCA.JK,151776751000000.0,1158201000000.0,
1,2019-12-31,65162871000000.0,296709000000.0,1036258000000.0,62748552000000.0,146985093000000.0,142982705000000.0,20852301000000.0,521622000000.0,606791761000000.0,3184290000000.0,918989312000000.0,706733068000000.0,1971664000000.0,10848907000000.0,1339330000000.0,22286279000000.0,100225000000.0,721220547000000.0,744846156000000.0,1540938000000.0,155114148000000.0,11838868000000.0,5548977000000.0,11838868000000.0,174042931000000.0,172665479000000.0,A,BBCA.JK,11304061000000.0,855830000000.0,153402000000.0
