emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,issuanceOfStock,investments,changeToOperatingActivities
DSNG.JK,2020-12-31,0.0,-642491000000.0,213524000000.0,50148000000.0,476637000000.0,502063000000.0,,1094406000000.0,616700000000.0,573599000000.0,-52292000000.0,-111084000000.0,1069000000.0,-1177915000000.0,,87133000000.0,-155911000000.0,
DSNG.JK,2019-12-31,0.0,-739822000000.0,-166319000000.0,-200902000000.0,179940000000.0,-353653000000.0,,587071000000.0,564135000000.0,267479000000.0,-104583000000.0,70000000000.0,-157004000000.0,-1001925000000.0,,87133000000.0,-20630000000.0,
DSNG.JK,2018-12-31,0.0,-1384603000000.0,1412160000000.0,1260576000000.0,420502000000.0,174310000000.0,,298337000000.0,378637000000.0,247867000000.0,-104584000000.0,-47000000000.0,-500802000000.0,-1014060000000.0,,87133000000.0,-20630000000.0,
IPTV.JK,2021-12-31,0.0,-1117656000000.0,-210701000000.0,50017000000.0,198660000000.0,-52786000000.0,,1014853000000.0,881232000000.0,-308885000000.0,,-195807000000.0,-116974000000.0,-622875000000.0,,456525000000.0,,
IPTV.JK,2020-12-31,0.0,-2307455000000.0,-196045000000.0,1232758000000.0,229987000000.0,-3409000000.0,,1071288000000.0,940983000000.0,-449093000000.0,,-416774000000.0,-167183000000.0,-1462693000000.0,,1845577000000.0,,
IPTV.JK,2019-12-31,0.0,-1651585000000.0,-1595320000000.0,371240000000.0,312346000000.0,8775000000.0,,1289120000000.0,1043703000000.0,12191000000.0,,41001000000.0,-154715000000.0,-1333155000000.0,,1925559000000.0,,
IPTV.JK,2018-12-31,0.0,-1991846000000.0,252535000000.0,930460000000.0,-46988000000.0,9055000000.0,196000000.0,1070245000000.0,889905000000.0,26595000000.0,,-179900000000.0,92184000000.0,-1987645000000.0,,857825000000.0,,
BUMI.JK,2021-12-31,0.0,-172633135.0,170237518.0,411958594.0,168018153.0,164837127.0,-66622.0,-74421710.0,39575466.0,60368268.0,,-878216.0,-242439863.0,-233048809.0,,242599292.0,,
BUMI.JK,2020-12-31,0.0,8964826.0,20092972.0,20092972.0,-338023994.0,11491355.0,-28937.0,-17537506.0,38477511.0,11650139.0,,-878216.0,282008977.0,-2685313.0,,242599292.0,,
BUMI.JK,2019-12-31,0.0,-2611868.0,17018286.0,17018286.0,6840034.0,-43877807.0,25940.0,-58310165.0,44982672.0,17849382.0,,-878216.0,-110132871.0,-20461250.0,,242599292.0,,
BUMI.JK,2018-12-31,0.0,113439074.0,43549804.0,43549804.0,220411771.0,47110927.0,-58056.0,-109819895.0,-37282121.0,-15405832.0,,-878216.0,-292949545.0,-6375337.0,,242599292.0,,
BHAT.JK,2021-12-31,0.0,9322450494.0,,,9305640324.0,8286384695.0,,-1036065799.0,816508474.0,203795322154.0,,,-11158214597.0,-88152500.0,,,-194384719160.0,
