emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,changeToOperatingActivities,repurchaseOfStock
SILO.JK,2021-12-31,0.0,-578375000000.0,-226899000000.0,-448024000000.0,3466000000.0,674117000000.0,1006983000000.0,249000000.0,2033133000000.0,921660000000.0,,-224591000000.0,,437218000000.0,-624635000000.0,12600000000.0,,
SILO.JK,2020-12-31,0.0,-281670000000.0,-412131000000.0,-462165000000.0,3466000000.0,116163000000.0,593469000000.0,702000000.0,1336602000000.0,777026000000.0,94737000000.0,-224591000000.0,,443237000000.0,-363949000000.0,-12600000000.0,,-50034000000.0
SILO.JK,2019-12-31,0.0,-529155000000.0,-23929000000.0,-23929000000.0,3466000000.0,-338772000000.0,98142000000.0,-281000000.0,651507000000.0,513283000000.0,94737000000.0,-224591000000.0,,476996000000.0,-513811000000.0,-12600000000.0,,-50034000000.0
SILO.JK,2018-12-31,0.0,-944334000000.0,27171000000.0,25640000000.0,3466000000.0,16182000000.0,-714218000000.0,836000000.0,203640000000.0,465829000000.0,94737000000.0,-224591000000.0,-1531000000.0,-278371000000.0,-819308000000.0,-12600000000.0,,-50034000000.0
KAEF.JK,2021-12-31,0.0,-648454321000.0,120885603000.0,364350794000.0,,302273634000.0,-501512956000.0,6515549000.0,-223924978000.0,389338733000.0,8677910000.0,-702224000.0,244167415000.0,-917973235000.0,-650761091000.0,,,
KAEF.JK,2020-12-31,0.0,-539953834000.0,-557844690000.0,-590167677000.0,,17638834000.0,-110274218000.0,872108000.0,1018975185000.0,242262908000.0,7490109000.0,-702224000.0,-32322987000.0,756978356000.0,-544486310000.0,,,
KAEF.JK,2019-12-31,0.0,-2124681095000.0,3398381319000.0,3275100904000.0,,-12724002000.0,-708396758000.0,-4981925000.0,-1853834642000.0,157516425000.0,13691903000.0,-83198920000.0,-40081495000.0,-2000766421000.0,-774407468000.0,,,
KAEF.JK,2018-12-31,0.0,-1562904871000.0,2500114929000.0,2322930108000.0,,491565938000.0,931982787000.0,288450000.0,171669100000.0,174191169000.0,4128799000.0,-182809821000.0,5625000000.0,-495536451000.0,-1211917331000.0,,,
IMPC.JK,2021-12-31,0.0,-149453579965.0,-193853406184.0,-223075249154.0,,210038447571.0,-126938220652.0,133575231.0,245457033236.0,95430621825.0,,-29001000000.0,-220842970.0,-60012036160.0,-127499484832.0,,,
IMPC.JK,2020-12-31,0.0,-114743716877.0,-34457079738.0,-82837068522.0,,125060624062.0,19158175061.0,-10215917560.0,226954878020.0,86457756549.0,,-48335000000.0,-44988784.0,15436497409.0,-129798764983.0,13399500000.0,,
