maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,goodWill,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,intangibleAssets,shortTermInvestments,deferredLongTermLiab
1.0,2021-09-30,41873277386.0,104814396405.0,2708410973.0,2198206120.0,153597841183.0,29050429462.0,16057752057.0,44534564119.0,10721958464.0,3020967535.0,330663449305.0,,38600000000.0,7621645283.0,26600822886.0,30782063195.0,24111399006.0,58023726061.0,124534165971.0,52526440000.0,100514472506.0,8897840855.0,20079130967.0,8897840855.0,182017884328.0,60782416189.0,Q,MARI.JK,76700904020.0,,
1.0,2021-12-31,104216468215.0,195276230305.0,269169556097.0,15637887072.0,585685378899.0,,489204556981.0,,3568932469.0,3568932469.0,1078458868349.0,35209733882.0,26814528273.0,102048986566.0,50899165790.0,10456869940.0,2760341948.0,273462421017.0,334818456747.0,76000006200.0,650796483387.0,5189324498.0,8894255569.0,5189324498.0,740880069654.0,740880069654.0,A,MARK.JK,,,
1.0,2020-12-31,39663959660.0,115256458531.0,180126835516.0,21352563626.0,356886698938.0,,359689918349.0,,3150238312.0,3150238312.0,719726855599.0,26346781386.0,55832070535.0,104798970778.0,,10974658797.0,2762177407.0,299279754931.0,310254413728.0,76000006200.0,315645519263.0,6170483432.0,8894255569.0,6170483432.0,406710264464.0,406710264464.0,A,MARK.JK,,,
1.0,2019-12-31,27975310470.0,68547861994.0,112651747711.0,10941898162.0,220340681278.0,,205864426823.0,,15048959640.0,2710733113.0,441254067741.0,10534619744.0,57007198578.0,3244799811.0,57145179644.0,9912569552.0,,75173239233.0,142230988429.0,76000006200.0,200395170412.0,1878497110.0,20749405590.0,1878497110.0,299023079312.0,299023079312.0,A,MARK.JK,,,
1.0,2018-12-31,5426961713.0,63891682925.0,78226456482.0,14120803708.0,162149436873.0,,150750138714.0,,5180750878.0,1974859846.0,318080326465.0,12406833948.0,,13333657568.0,,7267044064.0,,73075412445.0,80342456509.0,76000006200.0,138992628049.0,1995830117.0,20749405590.0,1995830117.0,237737869956.0,237737869956.0,A,MARK.JK,,,
1.0,2022-06-30,41605470268.0,242987630481.0,327623250889.0,12318770958.0,628833427556.0,,494780667744.0,,3568932469.0,3568932469.0,1127183027769.0,66914224962.0,7269284967.0,81514111154.0,66992677540.0,11664873926.0,2760337893.0,289850928442.0,368508479908.0,76000006200.0,665884265368.0,5135682831.0,8894255569.0,5135682831.0,755914209968.0,755914209968.0,Q,MARK.JK,,,
1.0,2022-03-31,57652605667.0,289034333748.0,313408258078.0,13155213448.0,677726107073.0,,496509427263.0,,3569242962.0,3569242962.0,1177804777298.0,47997547893.0,27026039164.0,114609263887.0,44614832488.0,11417700338.0,2760339744.0,253041476585.0,309074009411.0,76000006200.0,775907117958.0,5169048416.0,8894255569.0,5169048416.0,865970428143.0,865970428143.0,Q,MARK.JK,,,
1.0,2021-12-31,104216468215.0,195276230305.0,269169556097.0,15637887072.0,585685378899.0,,489204556981.0,,3568932469.0,3568932469.0,1078458868349.0,35209733882.0,26814528273.0,102048986566.0,50899165790.0,10456869940.0,2760341948.0,273462421017.0,334818456747.0,76000006200.0,650796483387.0,5189324498.0,8894255569.0,5189324498.0,740880069654.0,740880069654.0,Q,MARK.JK,,,
1.0,2021-09-30,52040464092.0,244745202091.0,229275018502.0,28054442029.0,558112674051.0,,486390904161.0,,3150238312.0,3150238312.0,1047653816524.0,46893966018.0,100869302016.0,164660890786.0,83786988732.0,14234837717.0,2867368700.0,320915660536.0,418937486985.0,76000006200.0,534784215638.0,6170483432.0,8894255569.0,6170483432.0,625848960839.0,625848960839.0,Q,MARK.JK,,,
1.0,2021-12-31,7491957.0,122912868.0,103112859.0,7149241.0,240829309.0,9129419.0,266432589.0,,19979631.0,800314.0,536370948.0,63486827.0,,30013402.0,86500000.0,22665586.0,5332.0,148654200.0,258235548.0,137342902.0,10225098.0,-931755.0,131493823.0,-931755.0,278130068.0,278130068.0,A,MASA.JK,,,
