emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,goodWill,longTermInvestments,deferredLongTermLiab,shortTermInvestments,intangibleAssets
MASB.JK,2020-12-31,,19648095743949.0,1889840264160.0,,102836841443.0,21537936008109.0,1055000000000.0,818491045346.0,676294629425.0,106522067741.0,158545634735.0,7455256956071.0,2440962381824.0,19530411163831.0,,158545634735.0,93983679437.0,9818023028475.0,1889840264160.0,,,19333045580628.0,,,,4170672344126.0,,6538040584335.0,
WMPP.JK,2021-12-31,853726529155.0,3240668510226.0,2103266940100.0,312848277042.0,115907238223.0,5656783727368.0,588380000000.0,592129233534.0,505559001308.0,130639082435.0,155601409637.0,549891303283.0,305059069611.0,2132706074451.0,4740976399.0,155601409637.0,1982306909155.0,3124314316930.0,2102995742100.0,904077705036.0,1310766972925.0,1051116882486.0,211419782264.0,953372634739.0,,,24448084938.0,,271198000.0
WMPP.JK,2020-12-31,76698393918.0,2595914605098.0,801295262305.0,129206009122.0,115234376130.0,3526415876525.0,25000000000.0,442665739360.0,547589856968.0,132459103188.0,152007011419.0,64293192746.0,74632900779.0,1838692231209.0,5431438092.0,152007011419.0,1582801758507.0,1879177450273.0,801151787306.0,271469788999.0,1081992681233.0,706109375706.0,92469211659.0,581915837131.0,,,24429939938.0,,143474999.0
WMPP.JK,2019-12-31,76246999509.0,2082369641718.0,832488574486.0,135670455150.0,84698730359.0,3050528671354.0,25000000000.0,533689263121.0,640934545392.0,105155329230.0,90307029585.0,260067289454.0,100790773696.0,1420929821761.0,4648222969.0,90307029585.0,963325798974.0,1827135582926.0,832488574486.0,235161579393.0,953287562533.0,603287682607.0,110909432523.0,548374928723.0,,,25667737892.0,,
WMPP.JK,2018-12-31,76246999509.0,1645228742586.0,730450062414.0,117482457999.0,33107621757.0,2493161262999.0,25000000000.0,365780602084.0,544992523141.0,106785025319.0,84210539764.0,271838827101.0,65521917812.0,1346307979899.0,5776382505.0,84210539764.0,716564370060.0,1504758065838.0,730450062414.0,219278033734.0,851635089305.0,645860591740.0,22283161483.0,189020722457.0,,,21277617712.0,,
MSKY.JK,2021-12-31,3098935000000.0,1408215000000.0,2475335000000.0,3628000000.0,27213000000.0,3887178000000.0,997185000000.0,137213000000.0,-2219404000000.0,333099000000.0,598619000000.0,433041000000.0,19514000000.0,1071106000000.0,252206000000.0,598619000000.0,2579197000000.0,866987000000.0,2467382000000.0,485764000000.0,166785000000.0,595977000000.0,395554000000.0,,7953000000.0,,64595000000.0,,
MSKY.JK,2020-12-31,3098935000000.0,1936517000000.0,2655021000000.0,2588000000.0,53281000000.0,4594126000000.0,997185000000.0,147634000000.0,-2037029000000.0,689990000000.0,595930000000.0,392046000000.0,56433000000.0,886784000000.0,201334000000.0,595930000000.0,3154248000000.0,1040298000000.0,2647487000000.0,475070000000.0,288257000000.0,532637000000.0,227809000000.0,348555000000.0,7534000000.0,,102244000000.0,,
MSKY.JK,2019-12-31,3098935000000.0,1516230000000.0,2843404000000.0,1000000.0,28270000000.0,4359635000000.0,997185000000.0,95230000000.0,-1836411000000.0,273023000000.0,583695000000.0,324577000000.0,70769000000.0,711372000000.0,181999000000.0,583695000000.0,3341350000000.0,693708000000.0,2843404000000.0,347444000000.0,135146000000.0,356511000000.0,224692000000.0,525086000000.0,,,114711000000.0,,
MSKY.JK,2018-12-31,2342368000000.0,2821774000000.0,2071635000000.0,1000000.0,37514000000.0,4893410000000.0,906532000000.0,60847000000.0,-1761088000000.0,323341000000.0,583823000000.0,383026000000.0,68349000000.0,2490767000000.0,135147000000.0,583823000000.0,3804212000000.0,706172000000.0,2071635000000.0,342562000000.0,191246000000.0,348491000000.0,1718606000000.0,,,,185314000000.0,,
MCOR.JK,2021-12-31,1267378000000.0,20113344000000.0,6081204000000.0,,62075000000.0,26194548000000.0,3791973000000.0,1168780000000.0,748437000000.0,223750000000.0,273416000000.0,13617941000000.0,2684325000000.0,19443092000000.0,42073000000.0,273416000000.0,797087000000.0,10450850000000.0,5860644000000.0,,147007000000.0,19349441000000.0,,427575000000.0,190075000000.0,1108110000000.0,,6436653000000.0,30485000000.0
