emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,goodWill
MLBI.JK,2020-12-31,,1802000000.0,1474019000000.0,1432980000000.0,426000000.0,,430447000000.0,2907425000000.0,21070000000.0,11540000000.0,1410108000000.0,115050000000.0,,214387000000.0,633253000000.0,1338441000000.0,93039000000.0,,,1503777000000.0,1189261000000.0,,1432980000000.0,,336773000000.0,,171037000000.0,174251000000.0,
MLBI.JK,2019-12-31,,1802000000.0,1750943000000.0,1145532000000.0,475000000.0,,558154000000.0,2896950000000.0,21070000000.0,4964000000.0,1122660000000.0,146410000000.0,,174859000000.0,77797000000.0,1588693000000.0,89330000000.0,,,1559289000000.0,1162802000000.0,,1145532000000.0,,860651000000.0,,165633000000.0,139043000000.0,
MLBI.JK,2018-12-31,,1802000000.0,1721965000000.0,1167155000000.0,381000000.0,,580008000000.0,2889501000000.0,21070000000.0,26554000000.0,1144283000000.0,143046000000.0,,136479000000.0,307896000000.0,1578919000000.0,57756000000.0,,,1524061000000.0,1228961000000.0,,1167155000000.0,,605643000000.0,,172217000000.0,148386000000.0,
ULTJ.JK,2021-12-31,4092000000.0,51251000000.0,2268730000000.0,5047176000000.0,90950000000.0,,69367000000.0,7406856000000.0,577676000000.0,,6295726000000.0,103466000000.0,-1877477000000.0,244450000000.0,1598901000000.0,1556539000000.0,14039000000.0,895320000000.0,-23066000000.0,2193204000000.0,4844821000000.0,120289000000.0,5043084000000.0,1838524000000.0,686952000000.0,598319000000.0,716115000000.0,393174000000.0,
ULTJ.JK,2020-12-31,5649000000.0,51251000000.0,3972379000000.0,4685904000000.0,95833000000.0,,132444000000.0,8754116000000.0,577676000000.0,,5907933000000.0,124611000000.0,-1850956000000.0,595585000000.0,1649669000000.0,2327339000000.0,11992000000.0,1499902000000.0,3455000000.0,1763252000000.0,5593421000000.0,796209000000.0,4680255000000.0,2346825000000.0,656244000000.0,1493639000000.0,938519000000.0,370306000000.0,
ULTJ.JK,2019-12-31,6822000000.0,51251000000.0,953283000000.0,5548439000000.0,106700000000.0,,84266000000.0,6608422000000.0,577676000000.0,,4942829000000.0,107055000000.0,-23317000000.0,510947000000.0,2040591000000.0,836314000000.0,15183000000.0,36782000000.0,-23317000000.0,1556666000000.0,3716641000000.0,817346000000.0,5541617000000.0,,652067000000.0,9914000000.0,998791000000.0,451990000000.0,
ULTJ.JK,2018-12-31,9672000000.0,51251000000.0,780915000000.0,4660272000000.0,114684000000.0,,5523000000.0,5555871000000.0,577676000000.0,10768000000.0,4049160000000.0,95066000000.0,-17815000000.0,462953000000.0,1444310000000.0,635161000000.0,17331000000.0,61709000000.0,-17815000000.0,1453135000000.0,2793521000000.0,836590000000.0,4650600000000.0,,560619000000.0,49065000000.0,769715000000.0,302403000000.0,
HEAL.JK,2021-12-31,,1850679000000.0,3199904000000.0,3269100000000.0,1117155000000.0,,726733000000.0,7586159000000.0,297800000000.0,11090000000.0,1848048000000.0,108295000000.0,-727427000000.0,582863000000.0,1286518000000.0,1617072000000.0,52422000000.0,159754000000.0,-437903000000.0,4537603000000.0,2465693000000.0,,3269100000000.0,,1071639000000.0,1473641000000.0,94640000000.0,324354000000.0,
HEAL.JK,2020-12-31,,1850679000000.0,2973077000000.0,2552044000000.0,830133000000.0,,548948000000.0,6355254000000.0,297800000000.0,5857000000.0,903871000000.0,195824000000.0,-500306000000.0,342533000000.0,864577000000.0,1479658000000.0,68889000000.0,253951000000.0,-439714000000.0,3760319000000.0,2252402000000.0,,2552044000000.0,,1174468000000.0,1293891000000.0,81846000000.0,295868000000.0,
HEAL.JK,2019-12-31,,1831179000000.0,2283353000000.0,2147209000000.0,617225000000.0,,436682000000.0,5047787000000.0,297300000000.0,7852000000.0,484575000000.0,174479000000.0,-465845000000.0,287756000000.0,593255000000.0,1044330000000.0,70904000000.0,183466000000.0,-465845000000.0,3095543000000.0,1664488000000.0,,2147209000000.0,,1009175000000.0,1064456000000.0,51215000000.0,207724000000.0,
HEAL.JK,2018-12-31,,1831179000000.0,1801498000000.0,1865796000000.0,503913000000.0,,440425000000.0,4171207000000.0,297300000000.0,7371000000.0,271636000000.0,160423000000.0,-534319000000.0,286495000000.0,303801000000.0,1040038000000.0,55418000000.0,264751000000.0,-534319000000.0,2656140000000.0,1228572000000.0,,1865796000000.0,,861283000000.0,600800000000.0,55368000000.0,203395000000.0,
