emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,longTermDebt,inventory,accountsPayable,shortLongTermDebt,intangibleAssets,minorityInterest,netReceivables,goodWill,deferredLongTermLiab
JRPT.JK,2018-12-31,703770243000.0,3847899580000.0,6406198081000.0,3184284753000.0,10541248267000.0,275000000000.0,110908929000.0,5427427838000.0,346648614000.0,,5469363427000.0,966107445000.0,3480039223000.0,,,133633966000.0,3923648209000.0,1014602665000.0,6406198081000.0,4762087000.0,21211743000.0,2743458817000.0,85578413000.0,4700000000.0,,287150606000.0,94781427000.0,,
INAF.JK,2021-12-31,81120060644.0,1503569486636.0,508295782392.0,107596324389.0,2011879396142.0,309926750000.0,281889543860.0,-186561103510.0,60859762042.0,303810075258.0,110256986575.0,380814191220.0,1045188438355.0,88066461550.0,303810075258.0,477146968455.0,1411390099989.0,1370763107.0,496581204376.0,,394520732587.0,333734190679.0,568662774491.0,78000000000.0,11714578016.0,14127114.0,409379365794.0,,
INAF.JK,2020-12-31,81120060644.0,1283008182330.0,430321799055.0,33653524178.0,1713334658849.0,309926750000.0,227877827113.0,-148980463895.0,84086064395.0,188255452306.0,88881559091.0,158178406505.0,836751938323.0,73271513304.0,188255452306.0,471386167543.0,1134732820080.0,1271102118.0,413258789038.0,,360776420282.0,144767398929.0,602640634256.0,,17063010017.0,4677464.0,597197216803.0,,
INAF.JK,2019-12-31,81120060644.0,878999867350.0,504933639526.0,8525552175.0,1383935194386.0,309926750000.0,212082226170.0,-78028599195.0,73479240144.0,191915428077.0,62022688407.0,151387943827.0,440827007421.0,46112663525.0,191915428077.0,469100892206.0,829103602342.0,6757417767.0,487983045862.0,,364693619785.0,148108537504.0,229722202258.0,,16950593664.0,1687510.0,294542571678.0,,
INAF.JK,2018-12-31,81120060644.0,945703748717.0,496646167030.0,23542053039.0,1442350608575.0,309926750000.0,206046930975.0,-85989561919.0,67707360439.0,191588918305.0,68528116566.0,129324891466.0,827237832766.0,44988140008.0,191588918305.0,496765557301.0,867493107334.0,6477895780.0,493560235436.0,,49439364000.0,215494611892.0,213561803040.0,,3085931594.0,692828.0,299691682723.0,,
MAPA.JK,2021-12-31,825655000000.0,2088282000000.0,3231037000000.0,251183000000.0,5319197000000.0,285040000000.0,218313000000.0,2111657000000.0,185910000000.0,8685000000.0,290972000000.0,662414000000.0,1584602000000.0,53495000000.0,8685000000.0,1445212000000.0,3503576000000.0,,3151600000000.0,,,2278559000000.0,518806000000.0,,27813000000.0,-122000000.0,316519000000.0,51624000000.0,15111000000.0
MAPA.JK,2020-12-31,825655000000.0,2392915000000.0,2975792000000.0,164204000000.0,5382042000000.0,285040000000.0,182057000000.0,1854269000000.0,219711000000.0,10828000000.0,272912000000.0,599348000000.0,1824206000000.0,45654000000.0,10828000000.0,1626661000000.0,3403032000000.0,,2896355000000.0,,,2278434000000.0,477557000000.0,,27813000000.0,13335000000.0,291037000000.0,51624000000.0,17764000000.0
MAPA.JK,2019-12-31,840912000000.0,1053002000000.0,3052769000000.0,133336000000.0,4108278000000.0,285040000000.0,192117000000.0,1888572000000.0,202756000000.0,38245000000.0,238562000000.0,545965000000.0,850246000000.0,16620000000.0,38245000000.0,766438000000.0,3103278000000.0,,3052769000000.0,,,1786524000000.0,404981000000.0,,,2507000000.0,252292000000.0,,17073000000.0
MAPA.JK,2018-12-31,840912000000.0,1309837000000.0,2332894000000.0,114709000000.0,3645143000000.0,285040000000.0,184823000000.0,1195395000000.0,157523000000.0,11547000000.0,191323000000.0,467205000000.0,1152314000000.0,23499000000.0,11547000000.0,596025000000.0,2841145000000.0,,2316244000000.0,,,1626662000000.0,301142000000.0,468906000000.0,16650000000.0,2412000000.0,287880000000.0,,2998000000.0
TSPC.JK,2021-12-31,348690992379.0,2769022665619.0,6530367162670.0,193518227198.0,9644326662784.0,225493215000.0,544130926835.0,5910860824169.0,400527846292.0,45322131122.0,593351838371.0,2687633660874.0,1895260237723.0,47936585807.0,45322131122.0,2755519794290.0,6238985603903.0,56469426220.0,6530367162670.0,90403339540.0,372205038000.0,1608950113060.0,1113936168562.0,20664962000.0,,344936834495.0,1307867563594.0,,
TSPC.JK,2020-12-31,335551217059.0,2727421825611.0,6056208893426.0,310414845393.0,9104657533366.0,225000000000.0,376370265185.0,5448524185176.0,380563260155.0,47133491191.0,542470440030.0,2645930816069.0,2008023494282.0,49249156538.0,47133491191.0,2580256738211.0,5941096184235.0,40834170890.0,6056208893426.0,51595960000.0,297578340000.0,1488087633710.0,1171371325717.0,16521660000.0,,321026814329.0,1379111509271.0,,
