emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,minorityInterest,longTermInvestments,shortTermInvestments
BJTM.JK,2020-12-31,,532734000000.0,73614504000000.0,10004948000000.0,39114000000.0,623278000000.0,83619452000000.0,3753875000000.0,4357506000000.0,5035285000000.0,,,683054000000.0,40690369000000.0,9633073000000.0,73272205000000.0,591676000000.0,683054000000.0,1205980000000.0,27064484000000.0,10004948000000.0,415447000000.0,342299000000.0,,69813884000000.0,298959000000.0,,14658619000000.0,12573044000000.0
BJTM.JK,2019-12-31,,528753000000.0,67734755000000.0,9021558000000.0,22634000000.0,365341000000.0,76756313000000.0,3750593000000.0,6277199000000.0,4270070000000.0,524993000000.0,,472142000000.0,37947670000000.0,14716457000000.0,66781882000000.0,522638000000.0,472142000000.0,1023429000000.0,28222143000000.0,9021558000000.0,81265000000.0,427880000000.0,,61264302000000.0,1452391000000.0,,9563071000000.0,6987952000000.0
BJTM.JK,2018-12-31,,520603000000.0,54217182000000.0,8471936000000.0,21924000000.0,531253000000.0,62689118000000.0,3744534000000.0,4612507000000.0,3577430000000.0,198034000000.0,,629369000000.0,33208487000000.0,15358472000000.0,54009035000000.0,467788000000.0,629369000000.0,972057000000.0,20717129000000.0,8471936000000.0,34069000000.0,10113000000.0,,51651039000000.0,725563000000.0,,7791445000000.0,566891000000.0
MNCN.JK,2021-12-31,1489753000000.0,3186200000000.0,3850254000000.0,16961710000000.0,,917606000000.0,21369004000000.0,1504979000000.0,308645000000.0,14674668000000.0,173098000000.0,1146706000000.0,-2404137000000.0,1755901000000.0,1286276000000.0,3114339000000.0,249270000000.0,569823000000.0,5842747000000.0,9750002000000.0,14325251000000.0,4399399000000.0,551434000000.0,3413041000000.0,55884000000.0,1228335000000.0,557040000000.0,1383895000000.0,
MNCN.JK,2020-12-31,1044652000000.0,3186200000000.0,4461328000000.0,14158045000000.0,,98775000000.0,18923235000000.0,1504979000000.0,304097000000.0,12443620000000.0,207480000000.0,1146706000000.0,-2976754000000.0,1105247000000.0,940195000000.0,2159171000000.0,289296000000.0,-4784000000.0,5781219000000.0,8315808000000.0,11966687000000.0,3368535000000.0,2083280000000.0,3387809000000.0,124780000000.0,783603000000.0,303862000000.0,1529603000000.0,
MNCN.JK,2019-12-31,437671000000.0,2602069000000.0,5310928000000.0,11629738000000.0,320630000000.0,150865000000.0,17836430000000.0,1427610000000.0,273785000000.0,10692594000000.0,294156000000.0,1146706000000.0,-3092535000000.0,1081818000000.0,630869000000.0,2139487000000.0,277133000000.0,2125000000.0,5682365000000.0,7636544000000.0,10045361000000.0,3301396000000.0,2864457000000.0,3148716000000.0,204790000000.0,595269000000.0,895764000000.0,1851326000000.0,
MNCN.JK,2018-12-31,125193000000.0,2602069000000.0,5697247000000.0,9865754000000.0,341656000000.0,269123000000.0,16339552000000.0,1427610000000.0,240597000000.0,8669057000000.0,302578000000.0,1146706000000.0,-2832982000000.0,1306284000000.0,720247000000.0,2153719000000.0,214890000000.0,-3468000000.0,5541768000000.0,7336848000000.0,8593855000000.0,3082012000000.0,3176477000000.0,3017364000000.0,311632000000.0,435623000000.0,776551000000.0,882753000000.0,
LINK.JK,2021-12-31,125675000000.0,1341144000000.0,4497552000000.0,5249338000000.0,,128521000000.0,9746894000000.0,286320000000.0,21935000000.0,4032133000000.0,153275000000.0,7345000000.0,-410259000000.0,345489000000.0,270796000000.0,1964255000000.0,94129000000.0,,8407737000000.0,860648000000.0,5116318000000.0,443197000000.0,2175824000000.0,,613780000000.0,306635000000.0,4000000.0,,
LINK.JK,2020-12-31,107044000000.0,1341144000000.0,3177089000000.0,4622711000000.0,,149797000000.0,7799803000000.0,286320000000.0,7451000000.0,3405506000000.0,193138000000.0,7345000000.0,-410259000000.0,337783000000.0,359642000000.0,2818011000000.0,96039000000.0,,6573193000000.0,774438000000.0,4508322000000.0,287651000000.0,,,787737000000.0,,3000000.0,,
LINK.JK,2019-12-31,95137000000.0,1341144000000.0,1996559000000.0,4656413000000.0,,57518000000.0,6652974000000.0,286320000000.0,31000000.0,3134037000000.0,163396000000.0,7345000000.0,-105088000000.0,261126000000.0,298209000000.0,1813323000000.0,69229000000.0,,5390802000000.0,898564000000.0,4553931000000.0,512945000000.0,,,610620000000.0,,2000000.0,,
LINK.JK,2018-12-31,84339000000.0,1431054000000.0,1272512000000.0,4751097000000.0,,23984000000.0,6023611000000.0,304265000000.0,,3641048000000.0,119096000000.0,7345000000.0,-625270000000.0,130526000000.0,599901000000.0,1095579000000.0,53043000000.0,,4723929000000.0,1077472000000.0,4659413000000.0,407651000000.0,,,566269000000.0,,2000000.0,,
LPPF.JK,2021-12-31,,,4845257000000.0,1005972000000.0,,423599000000.0,5851229000000.0,280461000000.0,52873000000.0,4566340000000.0,410281000000.0,,-3840829000000.0,571303000000.0,661391000000.0,2070044000000.0,99455000000.0,-3640715000000.0,3249563000000.0,1513483000000.0,1005972000000.0,41565000000.0,,746771000000.0,487379000000.0,,,516880000000.0,
LPPF.JK,2020-12-31,,,5737956000000.0,581118000000.0,,208867000000.0,6319074000000.0,280461000000.0,99547000000.0,3857652000000.0,476961000000.0,,-3556995000000.0,574372000000.0,523954000000.0,2856300000000.0,103718000000.0,-3556995000000.0,3533889000000.0,1610213000000.0,581118000000.0,80815000000.0,,889484000000.0,276176000000.0,,,600600000000.0,
LPPF.JK,2019-12-31,,,3086283000000.0,1746627000000.0,,1062598000000.0,4832910000000.0,325040000000.0,194472000000.0,5371581000000.0,488444000000.0,,-3949994000000.0,650824000000.0,1172506000000.0,2597839000000.0,27088000000.0,-3591683000000.0,1433305000000.0,2748781000000.0,1746627000000.0,132687000000.0,,1098516000000.0,569524000000.0,,,,
LPPF.JK,2018-12-31,,,3220568000000.0,1815828000000.0,,1118294000000.0,5036396000000.0,386794000000.0,307809000000.0,5324476000000.0,480757000000.0,,-3895442000000.0,772835000000.0,1184080000000.0,2739811000000.0,32351000000.0,-3571934000000.0,1249153000000.0,3014408000000.0,1815828000000.0,221059000000.0,,1290570000000.0,735647000000.0,,,,
TINS.JK,2021-12-31,,64383000000.0,8382569000000.0,6308225000000.0,,486953000000.0,14690989000000.0,372388000000.0,589145000000.0,5912658000000.0,1253992000000.0,,-41204000000.0,3250249000000.0,1782262000000.0,5685990000000.0,364890000000.0,-41204000000.0,3704971000000.0,7424045000000.0,6308225000000.0,1904529000000.0,1434498000000.0,3148109000000.0,886385000000.0,1121530000000.0,195000000.0,311724000000.0,
TINS.JK,2020-12-31,,64383000000.0,9577564000000.0,4939989000000.0,,218757000000.0,14517700000000.0,372388000000.0,1577408000000.0,4609863000000.0,1250843000000.0,,-106645000000.0,3813941000000.0,807300000000.0,5865165000000.0,346097000000.0,-106645000000.0,3858485000000.0,6557264000000.0,4939989000000.0,1236317000000.0,2449388000000.0,2936239000000.0,884620000000.0,,147000000.0,288010000000.0,
TINS.JK,2019-12-31,,55000000.0,15102873000000.0,5258215000000.0,,257669000000.0,20361278000000.0,372388000000.0,2441880000000.0,4950462000000.0,1042858000000.0,,-64690000000.0,3935476000000.0,1599370000000.0,11958185000000.0,325586000000.0,-64690000000.0,3987810000000.0,12307055000000.0,5258215000000.0,1681660000000.0,2101830000000.0,6584145000000.0,1969247000000.0,667845000000.0,190000000.0,130937000000.0,
