emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,effectOfExchangeRate,otherCashflowsFromInvestingActivities,repurchaseOfStock
TMAS.JK,2021-12-31,-24500000000.0,0.0,438513000000.0,-330980000000.0,-581064000000.0,,,695698000000.0,561801000000.0,708628000000.0,390335000000.0,-84000000.0,-403859000000.0,-503196000000.0,-250000000000.0,-4798000000.0,,
TMAS.JK,2020-12-31,-24500000000.0,0.0,-514083000000.0,78801000000.0,27747000000.0,,,62788000000.0,80305000000.0,564331000000.0,364961000000.0,-30515000000.0,111659000000.0,-545567000000.0,-20539000000.0,2310000000.0,,
TMAS.JK,2019-12-31,-24500000000.0,0.0,-58504000000.0,-144386000000.0,-232273000000.0,,,92998000000.0,-96000000.0,284995000000.0,260110000000.0,-87887000000.0,-92120000000.0,-139063000000.0,-20539000000.0,5686000000.0,,
TMAS.JK,2018-12-31,-24500000000.0,0.0,-30959000000.0,-342502000000.0,-298502000000.0,,,34482000000.0,23608000000.0,351599000000.0,247487000000.0,44000000000.0,42640000000.0,-59441000000.0,-20539000000.0,1470000000.0,,
BMHS.JK,2021-12-31,-21495000000.0,0.0,-249574475219.0,-26768938715.0,158468151885.0,,226088872130.0,215296355286.0,168929596139.0,260035919473.0,77565185829.0,-21351781530.0,-32825621642.0,-228079475219.0,-19500000000.0,,,
BMHS.JK,2020-12-31,-21495000000.0,0.0,-49172130106.0,245086461250.0,383545565804.0,,149000000000.0,88791039353.0,524731968775.0,190358533077.0,67740560658.0,-21351781530.0,33826933066.0,-49606709171.0,-10540895446.0,,206245731.0,
BMHS.JK,2019-12-31,-11760000000.0,0.0,-76289419848.0,-1222685580.0,-15804778580.0,,149000000000.0,19894704631.0,-2379164472.0,89715033956.0,51976029257.0,-1910000000.0,17844300068.0,-72500813033.0,-12672093000.0,,7916928195.0,
BMHS.JK,2018-12-31,-367500000.0,0.0,-161933007662.0,67191481554.0,53841481554.0,,149000000000.0,5127896269.0,7304888695.0,115396414803.0,44134539829.0,-700000000.0,66133978705.0,-156542017697.0,-12650000000.0,,-5051122828.0,
JRPT.JK,2021-12-31,-628891807000.0,0.0,-810806825000.0,-2348800000.0,-510493830000.0,,,768912755000.0,-462959806000.0,858451619000.0,89784934000.0,-69195897000.0,-246070000.0,-14879156000.0,-297989375000.0,-110770000.0,2566392000.0,-140959758000.0
JRPT.JK,2020-12-31,167688613000.0,0.0,17091041000.0,-5252300000.0,-454233623000.0,,,924905073000.0,194978665000.0,629710812000.0,70305091000.0,-59080372000.0,-365499352000.0,-26162244000.0,-327720139000.0,2410435000.0,6980086000.0,-62180812000.0
JRPT.JK,2019-12-31,-121768048000.0,0.0,-257842765000.0,-4700000000.0,-331246906000.0,,,1016858196000.0,-152066490000.0,437029964000.0,67498205000.0,6859040000.0,-647326437000.0,-26100613000.0,-330000000000.0,-6783000.0,17149655000.0,-3405946000.0
JRPT.JK,2018-12-31,-261206388000.0,0.0,-332638288000.0,-103700000000.0,-447363270000.0,,,1033205288000.0,241950482000.0,1021941321000.0,66203647000.0,13836730000.0,-77467614000.0,-15519536000.0,-357500000000.0,10719000.0,886185000.0,-3405946000.0
INAF.JK,2021-12-31,-95000000000.0,0.0,-114411412251.0,244148898768.0,244148898768.0,,,-37580639615.0,222635784715.0,92899478946.0,33799625934.0,,96006241296.0,-21270495384.0,,-1180748.0,1992733133.0,
INAF.JK,2020-12-31,3565893194.0,0.0,-9041943818.0,-30681231919.0,-30681231919.0,,,27580910.0,6790462678.0,46547903552.0,30232298851.0,,15595976511.0,-10896749428.0,,-34265138.0,1104999265.0,
INAF.JK,2019-12-31,36174973008.0,0.0,60090678460.0,-75026516980.0,-75026516980.0,,,7960962724.0,22063052361.0,37184640411.0,18837026619.0,,9627823792.0,-18990651470.0,,-185749530.0,389706922.0,
INAF.JK,2018-12-31,36174973008.0,0.0,-46400057765.0,63805377524.0,63805377524.0,,,-32735901429.0,-53262733429.0,-70390895931.0,32582486616.0,,-70237481118.0,-29344067880.0,,-277157257.0,287793156.0,
MAPA.JK,2021-12-31,,0.0,-118961000000.0,-641091000000.0,-702077000000.0,,,257388000000.0,63066000000.0,884104000000.0,620507000000.0,-60986000000.0,6209000000.0,-112390000000.0,,,-7490000000.0,
MAPA.JK,2020-12-31,,0.0,-190587000000.0,223630000000.0,184316000000.0,,,2078000000.0,53383000000.0,59654000000.0,620613000000.0,-39314000000.0,-563037000000.0,-106313000000.0,,,15108000000.0,
MAPA.JK,2019-12-31,,0.0,-304115000000.0,-479103000000.0,-465582000000.0,,,686771000000.0,50796000000.0,820493000000.0,177078000000.0,13521000000.0,-43356000000.0,-287617000000.0,,,-17581000000.0,
MAPA.JK,2018-12-31,,0.0,-280029000000.0,-913897000000.0,-34099000000.0,,987840000000.0,353411000000.0,229439000000.0,543567000000.0,146524000000.0,-108042000000.0,43632000000.0,-256247000000.0,,,-28231000000.0,
TSPC.JK,2021-12-31,-38356976208.0,0.0,-372627407260.0,61304199670.0,-317342619919.0,,11505452800.0,823767936791.0,41702844805.0,689652508330.0,236652562205.0,-94703244276.0,-370767990666.0,-385869642123.0,-295449028113.0,42020363654.0,143884892.0,
TSPC.JK,2020-12-31,25294000000.0,0.0,-388562094938.0,52448525705.0,-212012632568.0,,11505452800.0,787803135441.0,391714748493.0,982698939026.0,268373371282.0,-80991667373.0,-73477567697.0,-447836621809.0,-183469490900.0,9590536973.0,244604316.0,
TSPC.JK,2019-12-31,-93999276000.0,0.0,-365374820110.0,68747905391.0,-150246374076.0,,11505452800.0,554263001029.0,351038214998.0,889775270261.0,220608697841.0,-74593153400.0,114903571391.0,-328687646138.0,-144401126067.0,-23115861077.0,244604316.0,
TSPC.JK,2018-12-31,-15100000000.0,0.0,-435278569446.0,144994913577.0,-59827253135.0,,11505452800.0,512028758825.0,-70098253753.0,389088123975.0,205003429110.0,-61561990110.0,-327944063960.0,-466219345128.0,-143260176602.0,35919444853.0,244604316.0,
PTPP.JK,2021-12-31,19997688599.0,0.0,-2078367518853.0,827439558617.0,835722133098.0,,,265976722562.0,-772172197885.0,468698302439.0,593704900771.0,8282574481.0,-390983320894.0,-423950467466.0,,1774885431.0,-230928056310.0,
