emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,intangibleAssets,goodWill,deferredLongTermAssetCharges
TECH.JK,2019-12-31,32190608.0,9898353236.0,16056581479.0,-72085368.0,1191550000.0,4683804001.0,25882849347.0,50250000000.0,162175395.0,-33719369377.0,2595318061.0,-506239752.0,1670849663.0,10460982518.0,7303035175.0,-506239752.0,3180160835.0,21031838849.0,,16056581479.0,,10327197939.0,61476741.0,960000000.0,,,,,
TECH.JK,2018-12-31,,6388780051.0,13862035346.0,1868264.0,,1675873931.0,20252683661.0,50250000000.0,2765541282.0,-36654028991.0,1340726257.0,266064337.0,215510469.0,11323868113.0,5048053794.0,266064337.0,3563333497.0,16473839695.0,,13862035346.0,,2373480300.0,,8200000.0,,,,,
KRAS.JK,2021-12-31,175020000.0,3251577000.0,566782000.0,-44683000.0,,311842000.0,3773676000.0,987573000.0,239917000.0,-2123886000.0,506229000.0,1528075000.0,842534000.0,85014000.0,1486779000.0,1528075000.0,1772431000.0,973082000.0,182303000.0,563456000.0,,281528000.0,366623000.0,242558000.0,564825000.0,1255362000.0,3326000.0,,231652000.0
KRAS.JK,2020-12-31,175020000.0,3037626000.0,492878000.0,-44155000.0,,234565000.0,3486349000.0,987573000.0,263867000.0,-2193228000.0,269559000.0,1523513000.0,782877000.0,112826000.0,827496000.0,1523513000.0,1801434000.0,835342000.0,63911000.0,490093000.0,,241334000.0,216074000.0,161137000.0,63632000.0,1936341000.0,2785000.0,,232499000.0
KRAS.JK,2019-12-31,122137000.0,2940797000.0,389803000.0,-42563000.0,,286862000.0,3288037000.0,987573000.0,77064000.0,-2172975000.0,261507000.0,1453068000.0,377305000.0,130249000.0,2494040000.0,1453068000.0,2124197000.0,690608000.0,94620000.0,388496000.0,,222069000.0,260147000.0,232086000.0,1705561000.0,185250000.0,1307000.0,,203099000.0
KRAS.JK,2018-12-31,122137000.0,2758419000.0,863630000.0,-40861000.0,,204214000.0,3581188000.0,987573000.0,24301000.0,-1621778000.0,163651000.0,1375698000.0,326196000.0,173287000.0,1783061000.0,1375698000.0,2162257000.0,961072000.0,131408000.0,863375000.0,,231809000.0,514520000.0,221537000.0,123363000.0,811707000.0,255000.0,,150561000.0
MPRO.JK,2021-12-31,22376200000.0,407517539000.0,973869770000.0,380727532000.0,,62463103000.0,1762114841000.0,994250000000.0,1689343000.0,-42948811000.0,1702609000.0,192381000.0,1678094408000.0,73643174000.0,405814930000.0,192381000.0,4513126000.0,79507307000.0,,973869770000.0,,4162790000.0,,9936706000.0,,,,,
MPRO.JK,2020-12-31,22376200000.0,401816572000.0,987577155000.0,380845118000.0,,65400355000.0,1770238845000.0,994250000000.0,42009539000.0,-29097037000.0,2003890000.0,47992000.0,1650848771000.0,67488794000.0,399812682000.0,47992000.0,3456500000.0,115933574000.0,,987577155000.0,,6376610000.0,,19067279000.0,,,,,
MPRO.JK,2019-12-31,22376200000.0,411643774000.0,974850444000.0,380871846000.0,,77128818000.0,1767366064000.0,994250000000.0,71912999000.0,-41897268000.0,2224590000.0,121512000.0,1634829610000.0,54602119000.0,409419184000.0,121512000.0,4264707000.0,128271747000.0,,974850444000.0,,1415921000.0,,11729148000.0,,,,,
MPRO.JK,2018-12-31,22376200000.0,721568276000.0,945365185000.0,383386186000.0,,381694692000.0,2050319647000.0,994250000000.0,9095141000.0,-71644096000.0,1204156000.0,383081000.0,1690845094000.0,345090045000.0,720364120000.0,383081000.0,5094565000.0,354379988000.0,,945365185000.0,,168724000.0,,5156340000.0,,,,,
