emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromInvestingActivities,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
EDGE.JK,2018-12-31,500000.0,0.0,-84742282769.0,-2059000000.0,-256713158.0,73379702116.0,10606648128.0,,95605644055.0,16071362310.0,-256713158.0,5755501520.0,-91231074635.0,-116000000000.0,8245106395.0,,595974000000.0,
INDY.JK,2021-12-31,19737487.0,0.0,-47809449.0,-103732623.0,-130237145.0,57719504.0,305537061.0,-1499436.0,485083091.0,173291482.0,-26504522.0,252683851.0,-73401322.0,,17300992.0,,,
INDY.JK,2020-12-31,-28207157.0,0.0,-111981863.0,128686163.0,72104366.0,-117542428.0,82559404.0,-244662.0,122681563.0,198209790.0,-24635109.0,39945775.0,-87326534.0,-31586743.0,4573183.0,-359945.0,,
INDY.JK,2019-12-31,16686108.0,0.0,-169430092.0,26358138.0,-32545744.0,-18160152.0,-44413999.0,1469122.0,156092715.0,247011855.0,-19725971.0,-73854687.0,-162349525.0,-39177911.0,-10044457.0,-359945.0,,
INDY.JK,2018-12-31,-39486547.0,0.0,-173111817.0,-38148761.0,-123471767.0,80067586.0,-8997650.0,-2708563.0,290294497.0,252783452.0,-26006288.0,-44420857.0,-152050926.0,-59316718.0,19317590.0,-359945.0,,
BNBA.JK,2021-12-31,,0.0,-965173575721.0,-1777325000.0,948890132090.0,44449400923.0,635496194525.0,416890171.0,651362747985.0,12634849918.0,338517457090.0,-12612840451.0,-12891469564.0,-9240000000.0,-960711624769.0,,621390000000.0,602979354242.0
BNBA.JK,2020-12-31,129363925460.0,0.0,-1164390006283.0,-1350923459.0,27538465968.0,35053333152.0,-536050035264.0,546908743.0,600254596308.0,13052920622.0,42171889427.0,-2471600525.0,-18295866620.0,-13282500000.0,-1271191868296.0,,621390000000.0,551375144610.0
BNBA.JK,2019-12-31,153756177823.0,0.0,143575130489.0,-1350923459.0,249679334658.0,51167901115.0,45302927982.0,-1653314277.0,-346298222888.0,9928181547.0,275089334658.0,15782370581.0,-6670682419.0,-25410000000.0,-1271191868296.0,,621390000000.0,-424929287185.0
BNBA.JK,2018-12-31,13118041749.0,0.0,5872896835.0,-1350923459.0,119493661339.0,92897864488.0,-22471127397.0,3911177710.0,-151748863281.0,9852056926.0,142593661339.0,851819899.0,-7650494479.0,-23100000000.0,-1271191868296.0,,621390000000.0,-256170453244.0
MCAS.JK,2021-12-31,-184164130000.0,0.0,-309837018531.0,45385155951.0,82887218282.0,63078307688.0,44792425019.0,,273859953530.0,31480013284.0,37502062331.0,179301632558.0,-79785833424.0,,-18600000000.0,,,
MCAS.JK,2020-12-31,367786979429.0,0.0,-139029228062.0,-5532704163.0,-49218686155.0,25638796168.0,-200896392870.0,,-12648478653.0,16772459564.0,-66168494492.0,-55059734385.0,-57393402657.0,,7612829509.0,-12457362500.0,34939875000.0,
MCAS.JK,2019-12-31,-43821726940.0,0.0,-228142866494.0,27755935090.0,780780987706.0,92288699765.0,369145336890.0,,-182495453427.0,8462881518.0,112626927835.0,-283247034710.0,-109146335481.0,,78750000000.0,-12457362500.0,640398124781.0,
MCAS.JK,2018-12-31,-235217663850.0,0.0,-454530216145.0,107061651425.0,396803505127.0,235216823661.0,14952550844.0,,67849217482.0,2804840656.0,9928713006.0,-170172446835.0,-111309890807.0,,-12000000000.0,-12457362500.0,279813140696.0,
WSKT.JK,2021-12-31,-6504934520544.0,0.0,-1542249686633.0,5464401139776.0,13334212929177.0,-1096212049912.0,11952323879008.0,-8637325860.0,192784236637.0,887205982247.0,-30188205099.0,401790304302.0,-244769025510.0,,152273195203.0,,7899999994500.0,
WSKT.JK,2020-12-31,3918463184879.0,0.0,-1056077476416.0,-6019293579460.0,-7407071040982.0,-7359679861100.0,-8044872656527.0,17241152852.0,411061644702.0,1019735138664.0,-1340869959051.0,6751006367138.0,-905056615353.0,-46907502471.0,1324275009702.0,,7899999994500.0,
WSKT.JK,2019-12-31,-1659684950790.0,0.0,-14924743305937.0,7782081216482.0,4334944286473.0,938142364887.0,-1587368188809.0,-11818609407.0,9014249440062.0,717909241157.0,-2456427184926.0,7358197834018.0,-2742933949138.0,-990709745083.0,-32298146709.0,,7899999994500.0,
WSKT.JK,2018-12-31,-4119777610204.0,0.0,-18768151650463.0,19973053792889.0,19691082849457.0,3962838031865.0,4756715630454.0,11113410916.0,4011540078574.0,647085215580.0,494371440036.0,-598383168871.0,-2962349807081.0,-776342383468.0,698558079882.0,,7899999994500.0,
DMND.JK,2021-12-31,-140000000000.0,0.0,-513252000000.0,-60301000000.0,-60247000000.0,346507000000.0,-2999000000.0,,570500000000.0,146158000000.0,54000000.0,74982000000.0,-366405000000.0,,,,,
DMND.JK,2020-12-31,1065000000000.0,0.0,710337000000.0,-189189000000.0,-138888000000.0,200434000000.0,1095188000000.0,,523739000000.0,140265000000.0,-41199000000.0,181157000000.0,-353165000000.0,,,,91500000000.0,
DMND.JK,2019-12-31,-1136049000000.0,0.0,-1430959000000.0,997368000000.0,997368000000.0,364337000000.0,-337000000.0,,433254000000.0,132487000000.0,-41199000000.0,-64415000000.0,-269955000000.0,,,,91500000000.0,
DMND.JK,2018-12-31,-50568000000.0,0.0,-164751000000.0,-42692000000.0,-42692000000.0,315596000000.0,3119000000.0,,210562000000.0,122716000000.0,-41199000000.0,-227750000000.0,-149572000000.0,,,,91500000000.0,
BMAS.JK,2021-12-31,-1260389614000.0,0.0,-1263413931000.0,,4016045348000.0,80162068000.0,1330758928000.0,1758108000.0,-1423630597000.0,11571502000.0,4049371309000.0,-23089304000.0,-4348187000.0,-33325961000.0,,,,-1489885738000.0
BMAS.JK,2020-12-31,-652988828000.0,0.0,-659989199000.0,,2457907899000.0,66986471000.0,202060129000.0,656085000.0,-1596514656000.0,9470635000.0,2457907899000.0,-17736933000.0,-5687658000.0,-33325961000.0,,,,-1657213242000.0
BMAS.JK,2019-12-31,-652988828000.0,0.0,-7441972000.0,,810188430000.0,59746814000.0,97389214000.0,-1896266000.0,-703460978000.0,8210968000.0,845736122000.0,-311298417000.0,-6273983000.0,-35547692000.0,,,,-461484036000.0
BMAS.JK,2018-12-31,-652988828000.0,0.0,-3853076000.0,,571060154000.0,71013866000.0,327235964000.0,3466867000.0,-243437981000.0,9266510000.0,606607846000.0,167445182000.0,-4603891000.0,-35547692000.0,,,,-491223449000.0
TFAS.JK,2021-12-31,-9890100000.0,0.0,-15236499727.0,12570252538.0,13546100670.0,26627233138.0,2439210183.0,,5945309340.0,2013018299.0,975848132.0,-24212067097.0,-6142799727.0,,1400000000.0,,,
TFAS.JK,2020-12-31,26032825000.0,0.0,24193536663.0,-19591369915.0,-33019530815.0,6485257601.0,-2217385240.0,,6608608912.0,1653720094.0,-11768500000.0,-1949277116.0,-152953018.0,,1600000000.0,-1659660900.0,,
TFAS.JK,2019-12-31,-26099536280.0,0.0,-37368490266.0,40719320000.0,129530223258.0,18881388322.0,23255374644.0,,-68906358348.0,525402245.0,16871815572.0,-88313148915.0,-991653986.0,,-5000000000.0,-1659660900.0,71939087686.0,
TFAS.JK,2018-12-31,-26099536280.0,0.0,-6078653048.0,-39458341959.0,-30144518583.0,19695609819.0,-1768316437.0,,34454855194.0,403622435.0,-50000000.0,14355622940.0,-674653048.0,,-4600000000.0,-1659660900.0,9363823376.0,
POLL.JK,2021-12-31,,0.0,-17079831447.0,7590457182.0,338817492563.0,-110597543672.0,-10434161924.0,,-332171823040.0,45478112983.0,331227035381.0,-267052392351.0,-23199893799.0,,5937126756.0,,,
POLL.JK,2020-12-31,,0.0,-101618390467.0,244543594557.0,261385804062.0,30354818414.0,-79955347997.0,,-239722761592.0,40238479708.0,16842209505.0,-310316059714.0,-101852427192.0,,289036725.0,,,
POLL.JK,2019-12-31,,0.0,-708064467658.0,421104726233.0,661647764451.0,68506572042.0,-52823265821.0,,-6406562614.0,8006799503.0,240543038218.0,-82919934159.0,-700103807425.0,,-9332460238.0,,,
