emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,issuanceOfStock,investments,effectOfExchangeRate,changeToOperatingActivities,repurchaseOfStock
EXCL.JK,2018-12-31,0.0,-6203352000000.0,-3739977000000.0,-4587698000000.0,-3296890000000.0,-1408228000000.0,9357786000000.0,-847721000000.0,5005115000000.0,-6273753000000.0,7616799000000.0,50995000000.0,-213024000000.0,,,25036000000.0,,-134445000000.0
PTBA.JK,2021-12-31,0.0,-9838749000000.0,-650172000000.0,-911583000000.0,7909113000000.0,53248000000.0,10795075000000.0,-109508000000.0,1756862000000.0,-954631000000.0,1129100000000.0,-55265000000.0,-835388000000.0,683485000000.0,-8834532000000.0,8505000000.0,,
PTBA.JK,2020-12-31,0.0,113585000000.0,-409570000000.0,-4083158000000.0,2386819000000.0,-415854000000.0,3513628000000.0,-9867000000.0,160476000000.0,-715058000000.0,966333000000.0,-11914000000.0,-3651200000000.0,683485000000.0,840557000000.0,40091000000.0,,-12521000000.0
PTBA.JK,2019-12-31,0.0,-3784778000000.0,-342983000000.0,-2033191000000.0,4056888000000.0,-1544362000000.0,4296479000000.0,-73482000000.0,-465139000000.0,-1245869000000.0,704730000000.0,35694000000.0,-3767959000000.0,2151233000000.0,-2574603000000.0,-22872000000.0,,-12521000000.0
PTBA.JK,2018-12-31,0.0,-1576781000000.0,-193272000000.0,-3585132000000.0,5023946000000.0,2745757000000.0,7867786000000.0,-34529000000.0,2167505000000.0,-839371000000.0,676335000000.0,3092000000.0,-3357331000000.0,2151233000000.0,-740502000000.0,39884000000.0,,-12521000000.0
MIKA.JK,2021-12-31,0.0,-527253638503.0,,-984546455691.0,1228824616846.0,577715343073.0,2089515437267.0,-74776429294.0,667470491533.0,-588357306974.0,193220328888.0,-18080991455.0,-512674556400.0,,81827124999.0,,,-397095469997.0
MIKA.JK,2020-12-31,0.0,-623650592948.0,-5063500898.0,-305970912691.0,841673247185.0,136490984082.0,1066112489721.0,6587405403.0,45039287270.0,-341464976004.0,179399955266.0,-36484539226.0,-299060157900.0,,-256268486285.0,,,-8434659296.0
MIKA.JK,2019-12-31,0.0,-675213398951.0,-12649085842.0,-481184710940.0,730145081007.0,-262155751973.0,894242357918.0,5587385727.0,3876083825.0,-462521218591.0,160221193086.0,-58127042039.0,-256434291000.0,,-136983800634.0,,,-217688719825.0
MIKA.JK,2018-12-31,0.0,-308597471045.0,-13989714239.0,-347059753483.0,613558872726.0,87546852816.0,743203517544.0,-600027111.0,-4476132537.0,-547552225287.0,134120777355.0,-28539791078.0,-256434291000.0,,267494245320.0,559800.0,,-332470012133.0
AGRO.JK,2021-12-31,0.0,-578146197000.0,-801633000.0,-8172094149000.0,-3045701407000.0,-479040952000.0,8271199394000.0,-9410842714000.0,3688192729000.0,-39348452000.0,23830256000.0,39046000.0,,1239550198000.0,-539621890000.0,,7210868579000.0,
AGRO.JK,2020-12-31,0.0,-271034246000.0,-243681056000.0,1075304772000.0,31260682000.0,248317150000.0,-555953376000.0,1318985828000.0,361879795000.0,-7178772000.0,21238201000.0,27954000.0,,1239550198000.0,-258550152000.0,,-1500769314000.0,
AGRO.JK,2019-12-31,0.0,-721502908000.0,-243681056000.0,3703516412000.0,51061421000.0,-3385120841000.0,-6367134345000.0,3744358937000.0,420468684000.0,-16917080000.0,13922374000.0,40199000.0,-40842525000.0,1239550198000.0,-704660777000.0,,-5974055431000.0,
AGRO.JK,2018-12-31,0.0,-373840147000.0,-243681056000.0,6864433536000.0,204212623000.0,3489474307000.0,-3001119082000.0,5691771072000.0,119037715000.0,-9411964000.0,13964737000.0,37074000.0,-53388294000.0,1226050758000.0,-364559857000.0,,-3207299157000.0,
BANK.JK,2021-12-31,0.0,-304857000000.0,-8693000000.0,509680000000.0,-121275000000.0,1103040000000.0,898179000000.0,-4621000000.0,1969000000.0,-19320000000.0,10014000000.0,,,522994000000.0,-285537000000.0,38000000.0,1004727000000.0,
BANK.JK,2020-12-31,0.0,-74047000000.0,-8693000000.0,8000000.0,44868000000.0,-66064000000.0,7761000000.0,8000000.0,-60314000000.0,-12717000000.0,2000000.0,,,522994000000.0,-61330000000.0,214000000.0,22965000000.0,
