emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
BTPS.JK,2019-12-31,,,1878249000000,200000000,1399634000000,1667186000000,3642731000000,0,1881690000000,93855000000,,,,,478615000000,3642731000000,1761041000000,0,-3441000000,,1399634000000,1399634000000
BTPS.JK,2018-12-31,,,1299019000000,200000000,965311000000,1469208000000,2814470000000,0,1300178000000,45084000000,,,,,333708000000,2814470000000,1514292000000,0,-1159000000,,965311000000,965311000000
HRUM.JK,2021-12-31,,,127708180,181706013,74136707,42434583,174654403,132219820,132219820,,-1987394,,,,29254509,336175517,203955697,161521114,-4511640,-167085,98453671,74136707
HRUM.JK,2020-12-31,,,64424959,84885292,59004794,36943259,43237097,6293838,6293838,,-226306,,,,3994668,157819047,151525209,114581950,58131121,-137976,60430291,59004794
HRUM.JK,2019-12-31,,,25799661,85439928,18504237,43764495,67529155,23764660,23764660,,-131405,,,,5677072,262590669,238826009,195061514,2035001,-137976,20122589,18504237
HRUM.JK,2018-12-31,,,48370409,86446386,31809219,50439748,101479367,51039619,51039619,,-295297,,,,8164987,336707790,285668171,235228423,-2669210,-137976,40205422,31809219
CMRY.JK,2021-12-31,,,1016130000000,50000000,790195000000,963454000000,1971895000000,1006547000000,1006547000000,1894000000,-3130000000,,,,225901000000,4095689000000,3089142000000,2123794000000,9583000000,,790229000000,790195000000
CMRY.JK,2020-12-31,,,225708000000,29000000,176999000000,525095000000,759021000000,235910000000,235910000000,-1984000000,-4879000000,,,,48701000000,1861963000000,1626053000000,1102942000000,-10202000000,,177007000000,176999000000
CMRY.JK,2019-12-31,,,143487000000,21000000,108049000000,381710000000,516370000000,135919000000,135919000000,-1259000000,-4731000000,,,,35599000000,1390778000000,1254859000000,874408000000,7568000000,167000000.0,107888000000,108049000000
CMRY.JK,2018-12-31,,,112055000000,16000000,83846000000,309554000000,418611000000,108318000000,108318000000,739000000,-730000000,,,,28541000000,1086948000000,978630000000,668337000000,3737000000,336000000.0,83514000000,83846000000
FREN.JK,2021-12-31,,,-566283934827,48305256,-435329110150,2535021088676,6634793446547,247188617350,247188617350,,-956223735250,,,,-130958853462,10456828821565,10209640204215,3822035375018,-813472552177,,-435325081365,-435329110150
FREN.JK,2020-12-31,,,-1597361594513,43659722,-1523591144594,2727054411786,5775800224708,-784675268781,-784675268781,,-844386617507,,,,-73758643125,9407882876396,10192558145177,3632082651688,-812686325732,,-1523602951388,-1523591144594
FREN.JK,2019-12-31,,,-2339217426186,54811156,-2187719595257,2714096817050,4094990103271,-2302288815306,-2302288815306,,-369004790398,,,,-151445579263,6987804620572,9290093435878,2892814517301,-36928610880,,-2187771846923,-2187719595257
FREN.JK,2018-12-31,,,-3285837448621,107455518,-3552619911297,2145231053949,3119784362988,-2646534104116,-2646534104116,,-595872370575,,,,266996558619,5490311128559,8136845232675,2370526765571,-639303344505,,-3552834007240,-3552619911297
BNII.JK,2021-12-31,,,2175516000000,423984000000,1644970000000,5199687000000,7435363000000,0,2235676000000,,,,,,495762000000,7710631000000,5474955000000,275268000000,-60160000000,,1679754000000,1644970000000
BNII.JK,2020-12-31,,,1818645000000,386037000000,1266348000000,5399073000000,7290386000000,0,1891313000000,,,,,,534253000000,7603933000000,5712620000000,313547000000,-72668000000,,1284392000000,1266348000000
BNII.JK,2019-12-31,,,2599094000000,435483000000,1842520000000,6122085000000,8726705000000,0,2604620000000,,,,,,674914000000,9001952000000,6397332000000,275247000000,-5526000000,,1924180000000,1842520000000
BNII.JK,2018-12-31,,,3035577000000,372929000000,2194576000000,5751239000000,8794495000000,0,3043256000000,,,,,,773332000000,9066185000000,6022929000000,271690000000,-7679000000,,2262245000000,2194576000000
