emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,otherCashflowsFromInvestingActivities,issuanceOfStock
MSIN.JK,2019-12-31,-185836000000.0,0.0,-233845000000.0,-48848000000.0,-158090000000.0,,211412000000.0,-316266000000.0,,75669000000.0,46666000000.0,-109242000000.0,407000000.0,-182409000000.0,-47770000000.0,-9534000000.0,,173917000000.0
MSIN.JK,2018-12-31,6055000000.0,0.0,-534659000000.0,447870000000.0,1201594000000.0,,210814000000.0,413030000000.0,,-253905000000.0,21042000000.0,-109242000000.0,407000000.0,-497413000000.0,-29841000000.0,-9534000000.0,,753724000000.0
ITMG.JK,2021-12-31,,0.0,-24683000.0,-27729000.0,-134189000.0,,475570000.0,459511000.0,666000.0,617717000.0,94159000.0,-106740000.0,280000.0,-35974000.0,-11817000.0,,-13109000.0,
ITMG.JK,2020-12-31,-14238000.0,0.0,-44837000.0,9590000.0,-55178000.0,,39469000.0,72250000.0,-478000.0,172743000.0,83128000.0,-64768000.0,280000.0,-67077000.0,-19126000.0,,-12952000.0,
ITMG.JK,2019-12-31,-17000000.0,0.0,-95924000.0,10616000.0,-203420000.0,,129426000.0,-209007000.0,881000.0,89456000.0,61295000.0,-214036000.0,280000.0,-251403000.0,-47509000.0,,-31687000.0,
ITMG.JK,2018-12-31,-17000000.0,0.0,-108631000.0,10616000.0,-249373000.0,,261951000.0,-6014000.0,-2905000.0,354895000.0,61326000.0,-249373000.0,280000.0,-7028000.0,-57085000.0,,-51724000.0,
BBYB.JK,2021-12-31,-919341330800.0,0.0,-1051072929239.0,-20832666169.0,6637753330282.0,-2701868595760.0,-986289462473.0,2048593719339.0,,-3538086681704.0,34900736216.0,-1532212905.0,3907406101227.0,109173102583.0,-34141812841.0,,,2752712108129.0
BBYB.JK,2020-12-31,-919341330800.0,0.0,-18769334651.0,3167533544.0,264173079517.0,-272145909441.0,15871502695.0,-20266340455.0,,-265670085321.0,26980797166.0,-1598830857.0,114016235430.0,-37750425472.0,-24614453360.0,,,148588141400.0
BBYB.JK,2019-12-31,-919341330800.0,0.0,-10746271981.0,-678263745.0,592558436223.0,-515649173589.0,16002797471.0,6063186403.0,,-575748977839.0,9239631762.0,-1598830857.0,265648480022.0,-86011353367.0,-14064323114.0,,,327588219946.0
BBYB.JK,2018-12-31,-919341330800.0,0.0,-5455658098.0,-470016996.0,-339047862892.0,14059305897.0,-136988450929.0,-308648296920.0,,35855224070.0,8207556134.0,-5763770665.0,-399426868191.0,150239729475.0,-7121258098.0,,,66612792960.0
BSDE.JK,2021-12-31,721114023816.0,0.0,368787171489.0,-5371125301780.0,-6485647317854.0,,1348623038141.0,-2741198616776.0,69974495544.0,3305687034045.0,433224635522.0,,-1114522016074.0,1523839360382.0,-17189100415.0,,543982427924.0,
BSDE.JK,2020-12-31,-1112350803474.0,0.0,-1182431342549.0,3386912262233.0,3307403025612.0,,281700888667.0,3875997510793.0,286676801566.0,1464349026164.0,396863869923.0,,-1311297793421.0,785784267574.0,-20691185479.0,,759316104865.0,1231788556800.0
BSDE.JK,2019-12-31,-986858809336.0,0.0,-1969148509295.0,-265978722219.0,-1280444515383.0,,2791416326399.0,-1283325797511.0,-46475839508.0,2016997906950.0,359256605808.0,,-1014465793164.0,-1133675025257.0,-31214808781.0,,1363553255508.0,1231788556800.0
BSDE.JK,2018-12-31,-1491897671317.0,0.0,-2651717327363.0,4535131868593.0,3362601654947.0,,1293850222563.0,2346294516387.0,18729769853.0,1616680418950.0,391649130214.0,,-884528563553.0,-68818933827.0,-42038694197.0,-288001650093.0,276370165374.0,1231788556800.0
BINA.JK,2021-12-31,-1480206000000.0,0.0,-1506126000000.0,-18052000000.0,6573752000000.0,-2101516000000.0,39748000000.0,3094614000000.0,,-1973012000000.0,35078000000.0,,5404385000000.0,83922000000.0,-16748000000.0,,-9173000000.0,1187419000000.0
BINA.JK,2020-12-31,-1189636000000.0,0.0,-1224925000000.0,-16409000000.0,3093942000000.0,-931762000000.0,19376000000.0,1028122000000.0,,-840895000000.0,25158000000.0,,3110351000000.0,45587000000.0,-22037000000.0,,-14229000000.0,1187419000000.0
BINA.JK,2019-12-31,-394372000000.0,0.0,-403698000000.0,-16409000000.0,1391942000000.0,-1023086000000.0,7115000000.0,11402000000.0,,-976842000000.0,5993000000.0,,1391942000000.0,31045000000.0,-9360000000.0,,-14229000000.0,1187419000000.0
BINA.JK,2018-12-31,-21563000000.0,0.0,-30801000000.0,-16409000000.0,721723000000.0,-262538000000.0,11395000000.0,475093000000.0,,-215829000000.0,4621000000.0,,721723000000.0,29876000000.0,-9276000000.0,,-14229000000.0,1187419000000.0
BTPN.JK,2021-12-31,-6422262000000.0,0.0,-7001869000000.0,298790000000.0,6143084000000.0,813088000000.0,2664714000000.0,6354046000000.0,-17885000000.0,7230716000000.0,531700000000.0,,5843542000000.0,2872831000000.0,-219197000000.0,,-18823000000.0,752000000.0
BTPN.JK,2020-12-31,-3200636000000.0,0.0,-3805233000000.0,-9347725000000.0,-696765000000.0,4117229000000.0,1749293000000.0,5385972000000.0,-10562000000.0,9898532000000.0,578731000000.0,-103887000000.0,8754839000000.0,3529989000000.0,-194377000000.0,,-22332000000.0,8000000.0
BTPN.JK,2019-12-31,710858000000.0,0.0,11301087000000.0,147998000000.0,-9022487000000.0,-7967700000000.0,2572528000000.0,-582552000000.0,-35026000000.0,-2826126000000.0,358264000000.0,-103887000000.0,-9171626000000.0,2264756000000.0,-324700000000.0,,-22332000000.0,1141000000.0
BTPN.JK,2018-12-31,197777000000.0,0.0,-573678000000.0,1872646000000.0,3623992000000.0,-2219718000000.0,1838471000000.0,5506794000000.0,-10878000000.0,2467358000000.0,314573000000.0,-574509000000.0,2296127000000.0,2531694000000.0,-382971000000.0,,-22332000000.0,29728000000.0
