emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,otherCashflowsFromInvestingActivities,issuanceOfStock
JPFA.JK,2021-12-31,327000000.0,0.0,-2525308000000.0,2131019000000.0,1567012000000.0,,2022596000000.0,-250795000000.0,6255000000.0,701246000000.0,1308666000000.0,-466308000000.0,-22591000000.0,-2630016000000.0,-1323666000000.0,-75108000000.0,-40888000000.0,
JPFA.JK,2020-12-31,1270000000.0,0.0,-1980790000000.0,-1463446000000.0,-1794564000000.0,,916711000000.0,331631000000.0,7545000000.0,4099440000000.0,1240347000000.0,-233154000000.0,-25221000000.0,1942382000000.0,-1614869000000.0,-72743000000.0,97835000000.0,
JPFA.JK,2019-12-31,-1680000000.0,0.0,-3148118000000.0,1762107000000.0,1128393000000.0,,1765178000000.0,-156113000000.0,-27605000000.0,1891217000000.0,984733000000.0,-585960000000.0,-52321000000.0,-858694000000.0,-3102747000000.0,-72743000000.0,121675000000.0,4567000000.0
JPFA.JK,2018-12-31,-92000000.0,0.0,-2047190000000.0,542980000000.0,-345267000000.0,,2167961000000.0,-503127000000.0,44071000000.0,1845259000000.0,870619000000.0,-1155915000000.0,-50000000000.0,-1193321000000.0,-2247210000000.0,-72743000000.0,259685000000.0,317668000000.0
MLBI.JK,2021-12-31,,0.0,-252315000000.0,86376000000.0,-910746000000.0,,665682000000.0,4944000000.0,,1168005000000.0,339573000000.0,-997122000000.0,,162750000000.0,-252366000000.0,,,
MLBI.JK,2020-12-31,,0.0,-252694000000.0,-63999000000.0,-64499000000.0,,285666000000.0,555456000000.0,,872649000000.0,278958000000.0,-500000000.0,,308025000000.0,-255406000000.0,,,
MLBI.JK,2019-12-31,,0.0,-320300000000.0,-20000000000.0,-1244323000000.0,,1205743000000.0,-230099000000.0,,1334524000000.0,247421000000.0,-1224323000000.0,,-118640000000.0,-322284000000.0,,,
MLBI.JK,2018-12-31,,0.0,-275917000000.0,70000000000.0,-1051756000000.0,,1224586000000.0,84842000000.0,,1412515000000.0,213697000000.0,-1121756000000.0,,-25768000000.0,-275980000000.0,,,
ULTJ.JK,2021-12-31,1246917000000.0,0.0,1024322000000.0,-1529795000000.0,-2489537000000.0,,1271638000000.0,-50768000000.0,,1414447000000.0,184859000000.0,-959742000000.0,,-43405000000.0,-252085000000.0,,5344000000.0,
ULTJ.JK,2020-12-31,-2249960000000.0,0.0,-2632522000000.0,2943637000000.0,1024537000000.0,,1099696000000.0,-390922000000.0,,1217063000000.0,176796000000.0,-70536000000.0,,-60703000000.0,-401835000000.0,-1848564000000.0,-8759000000.0,
ULTJ.JK,2019-12-31,-2249960000000.0,0.0,-264854000000.0,-85749000000.0,-235682000000.0,,1032277000000.0,596281000000.0,,1096817000000.0,144743000000.0,-149933000000.0,,-80203000000.0,-303575000000.0,-1848564000000.0,21786000000.0,
ULTJ.JK,2018-12-31,-756584000000.0,0.0,-1089186000000.0,-3608000000.0,-162727000000.0,,697784000000.0,-676090000000.0,,575823000000.0,141751000000.0,-159119000000.0,,-263712000000.0,-335504000000.0,-1848564000000.0,-12634000000.0,
HEAL.JK,2021-12-31,120830000000.0,0.0,-1181479000000.0,99462000000.0,-252916000000.0,,1003126000000.0,421941000000.0,,1856336000000.0,435260000000.0,-73517000000.0,-49929000000.0,417950000000.0,-1213544000000.0,-228932000000.0,-89325000000.0,
HEAL.JK,2020-12-31,-121157000000.0,0.0,-1036179000000.0,297012000000.0,181016000000.0,,473222000000.0,271322000000.0,,1126485000000.0,294920000000.0,-35569000000.0,-39835000000.0,358343000000.0,-889652000000.0,-60592000000.0,-26263000000.0,20000000000.0
HEAL.JK,2019-12-31,-121157000000.0,0.0,-605667000000.0,384530000000.0,322541000000.0,,255367000000.0,289454000000.0,,572580000000.0,226859000000.0,-32703000000.0,-29286000000.0,90354000000.0,-575942000000.0,-60592000000.0,-19215000000.0,20000000000.0
HEAL.JK,2018-12-31,-121157000000.0,0.0,-880948000000.0,-586366000000.0,620651000000.0,,124374000000.0,-18626000000.0,,241671000000.0,203324000000.0,-32703000000.0,-93092000000.0,-86027000000.0,-764162000000.0,-60592000000.0,-4566000000.0,1300109000000.0
